transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_91a559caa8057175c3f0209d,2025-01-01T09:00:00,0.00,1741163.14,1741163.14
synb1_txn_5477f3def075eabd3e03de1b,2025-01-04T11:42:25,5682.98,0.00,1735480.16
synb1_txn_65f06ce69043ab7781bbbaaf,2025-01-07T12:25:15,2333.65,0.00,1733146.51
synb1_txn_accefbebe4654c193ee50fca,2025-01-13T15:20:05,1798.00,0.00,1731348.51
synb1_txn_9c2f0dafc71f997046a1c14b,2025-01-14T17:42:10,7569.73,0.00,1723778.78
synb1_txn_830201eee00a1394cc6e7d2e,2025-01-15T09:29:40,2178.05,0.00,1721600.73
synb1_txn_6c9ac20298556fce41c81811,2025-01-15T12:32:06,5127.94,0.00,1716472.79
synb1_txn_1003727723e5c4151fb04028,2025-01-26T11:02:39,5107.10,0.00,1711365.69
synb1_txn_3042a7eed58228e11ad82b87,2025-01-30T14:51:56,1720.30,0.00,1709645.39
synb1_txn_f6c1598765a8fb81391e377e,2025-02-08T14:57:40,2243.94,0.00,1707401.45
synb1_txn_1c7337a72bdf7c8c260f39ec,2025-02-10T13:10:03,1921.88,0.00,1705479.57
synb1_txn_0b14c9386d494aad94498db7,2025-02-11T14:12:20,1997.12,0.00,1703482.45
synb1_txn_f91f957e8d02abc547482b25,2025-02-16T13:21:59,6216.33,0.00,1697266.12
synb1_txn_35bbce97d2dd3f4be7b9039e,2025-02-16T16:51:12,5951.63,0.00,1691314.49
synb1_txn_b567989831e247ca92fde89a,2025-02-17T12:06:56,5915.74,0.00,1685398.75
synb1_txn_85cf2ea15e1959569339f73e,2025-02-19T09:34:58,5404.05,0.00,1679994.70
synb1_txn_99027ee35995b985f11e5d19,2025-02-28T17:48:22,1867.06,0.00,1678127.64
synb1_txn_463b85fbf3093e51f3895683,2025-03-01T10:22:32,351858.68,0.00,1326268.96
synb1_txn_8a3e03dc5093911eabc5b08c,2025-03-04T09:58:50,0.00,53211.59,1379480.55
synb1_txn_7a3e9b80f2b0490305e9f99a,2025-03-04T16:03:17,0.00,45615.02,1425095.57
synb1_txn_b8e602065d57523a2b35ef2d,2025-03-08T12:06:23,0.00,51237.20,1476332.77
synb1_txn_5f24fa23cc34fa6ac7df3752,2025-03-09T10:56:00,5791.83,0.00,1470540.94
synb1_txn_ec2aee7dc776f2667f5eaf63,2025-03-10T17:06:31,321292.55,0.00,1149248.39
synb1_txn_4542de43be9188caeda139eb,2025-03-11T11:57:38,1720.81,0.00,1147527.58
synb1_txn_6db0aa6c18c4498a96316459,2025-03-12T17:30:18,5858.42,0.00,1141669.16
synb1_txn_554223338a561ca89edafaa6,2025-03-15T14:01:23,291666.36,0.00,850002.80
synb1_txn_be4d49c61c25df2cd4c36fee,2025-03-15T16:21:19,4832.96,0.00,845169.84
synb1_txn_93fffbc4030098f04fb73781,2025-03-15T17:03:15,2245.55,0.00,842924.29
synb1_txn_967f0d18579bb2c86d3bcbf6,2025-03-21T13:06:06,1913.11,0.00,841011.18
synb1_txn_9ee4f13e718fadd6ef8a4fe2,2025-03-25T12:23:35,310465.58,0.00,530545.60
synb1_txn_bdd60ce198d298fd2307026a,2025-03-26T09:03:01,7004.54,0.00,523541.06
synb1_txn_ff980e5b8c665d6867e95771,2025-03-27T13:21:46,0.00,50686.19,574227.25
synb1_txn_b46e61f5e7468e67296abe65,2025-03-29T09:58:24,2150.53,0.00,572076.72
synb1_txn_0b63498334dfab9c03a6932b,2025-04-04T17:13:20,0.00,92609.72,664686.44
synb1_txn_0ff923f35b710033c62a8991,2025-04-06T09:22:49,1534.65,0.00,663151.79
synb1_txn_e4726b3480b1bf5bba2aa96f,2025-04-08T13:14:02,84621.28,0.00,578530.51
synb1_txn_0e4acc5bc909dbb4db314266,2025-04-10T17:31:18,84235.29,0.00,494295.22
