transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_aca496bd555a5f4e713ff45b,2024-01-01T09:00:00,流入,1683000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4fc0dd165550829278ea04a9,2024-01-03T15:00:00,流入,11859.70,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_27a3d1844e2bd14af39a6b7f,2024-01-04T09:00:00,流出,8958.89,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7c63d36c71b1804c958c3a1c,2024-01-05T09:00:00,流出,5500.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2e5cdda15a671ec713a6104e,2024-01-07T09:00:00,流出,24000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7de2b7f4b1717c7cf83cac46,2024-01-08T09:00:00,流出,115645.31,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2a408cd82013a447233fe573,2024-01-09T09:00:00,流出,1157.56,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c393ce83bec0fd9edb9313b5,2024-01-10T15:00:00,流入,104545.73,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8990a9c2879159b9004ad5de,2024-01-15T15:00:00,流入,5166.14,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_872a58b0eb0c3e6bd878c884,2024-01-21T15:00:00,流入,7857.12,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c6c5baeb0626f40778e9b2dd,2024-01-22T09:00:00,流出,60000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2590ef71779fc8fd3e4b5025,2024-01-22T09:00:00,流出,2623.18,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c3de6bfdd651a6b14b4d5232,2024-01-23T09:00:00,流出,419.26,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_06203c976cbe77f8b41ad348,2024-01-27T15:00:00,流入,213.31,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c3f484d86843691ddadad4f1,2024-02-05T09:00:00,流出,5500.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_69bf6c2925f98f21c4e1b388,2024-02-06T09:00:00,流出,2443.01,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0459eba7d907002f5d7cdb5d,2024-02-07T09:00:00,流出,24000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_15662696022a339249afe57f,2024-02-09T09:00:00,流出,15150.94,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c3bfa52345712fa32235f900,2024-02-09T15:00:00,流入,48635.27,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_78642f7fac759b3761626c96,2024-02-10T15:00:00,流入,117341.57,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_24288e7590d440537c89e9e8,2024-02-15T09:00:00,流出,8087.08,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2271f0bf746828709e0f2695,2024-02-16T15:00:00,流入,2962.10,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_05107ec4f323c1879e58740a,2024-02-17T09:00:00,流出,39295.45,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fe4fd87ac25f710a60370ac0,2024-02-18T09:00:00,流出,7010.41,缴纳企业所得税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0698b0bd90678f0f31dd2176,2024-02-18T09:00:00,流出,2091.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5f370e0e99c35f28dc756d3f,2024-02-18T09:00:00,流出,250.92,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a9df60f8fe9fa676ed5ab5e4,2024-02-20T09:00:00,流出,50000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_631102ba0f204c4ed5fedd57,2024-02-20T09:00:00,流出,25918.26,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
