transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_a56bce0cae710f3e125f76ad,2024-01-01T09:00:00,流入,1000000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_00f6c3639d2e97ca3c1ab6fa,2024-01-03T15:00:00,流入,22641.18,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_93e40c5ca0fedf5fd9a32a3a,2024-01-04T09:00:00,流出,866.15,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_cf5fe86c9a6cdfecbcba9847,2024-01-05T09:00:00,流出,18000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_98f30258041fa21973e93f03,2024-01-06T09:00:00,流出,84326.44,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_eb6ab9d6ce313e5ae74f9434,2024-01-07T09:00:00,流出,54000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e8bbda04893c35d2ce7a87d6,2024-01-08T15:00:00,流入,65796.77,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c7c3001c1e90cb12a7aa8493,2024-01-09T09:00:00,流出,2226.80,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e5aee24f2a1f1d7c6d188cef,2024-01-12T15:00:00,流入,69556.36,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_97b84d3d34a587ac0f1a8897,2024-01-20T09:00:00,流出,14835.78,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_913ce643689e1b15beedaefe,2024-01-23T15:00:00,流入,3135.07,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_857f4eb66f17216d52ab7edd,2024-01-24T09:00:00,流出,2108.86,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_375adbc98fac389d03a2db40,2024-01-24T09:00:00,流出,136725.19,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7b035be635095df157b68ea4,2024-01-24T15:00:00,流入,68170.05,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f1eb0f4de40f12cc3b240327,2024-01-25T09:00:00,流出,11502.59,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6672d598f4335504693c7821,2024-01-26T15:00:00,流入,37500.57,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7edc539613a5d2e1aba17fcb,2024-01-28T09:00:00,流出,6798.19,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_11d477f81eac0bc602c1471d,2024-02-02T15:00:00,流入,29852.06,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fe5b4db481f4f7d5e697feb0,2024-02-05T09:00:00,流出,846.84,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ff54ff38e1e6ee1d79cf0a9e,2024-02-05T09:00:00,流出,18000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_80b91b2f579d8355a840a835,2024-02-05T09:00:00,流出,69024.81,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_da22648adb339281d265b05a,2024-02-05T09:00:00,流出,33280.25,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f0063bf9943ab54ace7ed55c,2024-02-05T15:00:00,流入,31936.59,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c8271a74f30b05bbe79dd0f4,2024-02-06T09:00:00,流出,2620.40,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
