方法,资料,预测内容,企业数,预测题数,平均绝对误差_cny,实际余额落在范围内比例,平均范围宽度占预测日余额比例,平均漏出范围扣分
ExtraTrees,每天余额收入支出,下一银行营业日的日末余额,142,142,43683.92117322135,0.9929577464788732,0.3046535144614855,0.3142447865969298
ExtraTrees,每天余额收入支出,以后10个银行营业日的日均余额,142,142,94862.44691885782,0.9929577464788732,0.5502522785815015,0.5575487957388736
ExtraTrees,每天余额收入支出,以后30个银行营业日的日均余额,142,142,150679.53787123915,0.971830985915493,0.30798368557571393,0.34723376860753447
ExtraTrees,每天余额收入支出及用途,下一银行营业日的日末余额,142,142,45958.05436526454,0.9859154929577465,0.19733955718438403,0.21127710912197112
ExtraTrees,每天余额收入支出及用途,以后10个银行营业日的日均余额,142,142,91156.41686519767,0.9929577464788732,0.5392697325133116,0.5422614184360172
ExtraTrees,每天余额收入支出及用途,以后30个银行营业日的日均余额,142,142,128044.56483724435,0.9859154929577465,0.4704152333981223,0.4798911375088172
ExtraTrees,逐笔金额余额用途,下一银行营业日的日末余额,142,142,52699.16978332975,0.9859154929577465,0.19938494631100803,0.21199010850748112
ExtraTrees,逐笔金额余额用途,以后10个银行营业日的日均余额,142,142,111062.80229007993,1.0,0.49090148669117184,0.49090148669117184
ExtraTrees,逐笔金额余额用途,以后30个银行营业日的日均余额,142,142,154200.645613042,0.971830985915493,0.43357757205732644,0.4554495568174138
GRU,每天余额收入支出,下一银行营业日的日末余额,142,142,41345.80001515086,0.9225352112676056,0.06772488196689953,0.10606106391992122
GRU,每天余额收入支出,以后10个银行营业日的日均余额,142,142,85567.46248361602,0.9929577464788732,0.44436673221419154,0.44823023560131664
GRU,每天余额收入支出,以后30个银行营业日的日均余额,142,142,126145.54005745586,0.9859154929577465,0.5805957712043566,0.5904815924824032
GRU,每天余额收入支出及用途,下一银行营业日的日末余额,142,142,42182.17989648617,0.9154929577464789,0.06754142957729903,0.10593488972240345
GRU,每天余额收入支出及用途,以后10个银行营业日的日均余额,142,142,92698.69917497806,0.9929577464788732,0.39224625595891977,0.3971365657660346
GRU,每天余额收入支出及用途,以后30个银行营业日的日均余额,142,142,132944.5437635148,0.9859154929577465,0.5540022950574579,0.5675634662680543
GRU,逐笔金额余额用途,下一银行营业日的日末余额,142,142,41748.236595213035,0.9225352112676056,0.06860418563810843,0.10570045068217372
GRU,逐笔金额余额用途,以后10个银行营业日的日均余额,142,142,92890.99712980058,0.9929577464788732,0.42450747617759255,0.4293880721101462
