方法,资料,企业编号,来源组,余额走势,预测日期,预测内容,实际余额_cny,预测余额_cny,预测下限_cny,预测上限_cny,绝对误差_cny,实际余额是否落在范围内,范围宽度占预测日余额比例,漏出范围扣分
余额保持法,每天余额收入支出,business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,长期上升,2025-05-12,下一银行营业日的日末余额,4558638.55,4561266.93,4405051.526579763,4717482.333420237,2628.3799999998882,1,0.06849649705558315,0.06849649705558315
余额保持法,每天余额收入支出,business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,长期上升,2025-05-12,以后10个银行营业日的日均余额,4752485.302,4561266.93,3564898.326527442,5557635.533472558,191218.37200000044,1,0.4368823920035559,0.4368823920035559
余额保持法,每天余额收入支出,business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,长期上升,2025-05-12,以后30个银行营业日的日均余额,4706828.721,4561266.93,3050174.102178513,6072359.757821486,145561.7910000002,1,0.6625759250715401,0.6625759250715401
余额保持法,每天余额收入支出,business_102_a1_l_abundant_t08,F-SHAPE-A1-L-08,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,4594860.55,4452813.77,4300312.697357067,4605314.842642932,142046.78000000026,1,0.0684964970555832,0.0684964970555832
余额保持法,每天余额收入支出,business_102_a1_l_abundant_t08,F-SHAPE-A1-L-08,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,4721474.532,4452813.77,3480135.8045080137,5425491.735491985,268660.7620000001,1,0.436882392003556,0.436882392003556
余额保持法,每天余额收入支出,business_102_a1_l_abundant_t08,F-SHAPE-A1-L-08,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,4577100.312000001,4452813.77,2977650.1685854783,5927977.371414521,124286.5420000013,1,0.6625759250715403,0.6625759250715403
余额保持法,每天余额收入支出,business_102_a1_l_abundant_t09,F-SHAPE-A1-L-09,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,4109222.02,4109222.02,3968488.363003166,4249955.676996835,0.0,1,0.06849649705558344,0.06849649705558344
余额保持法,每天余额收入支出,business_102_a1_l_abundant_t09,F-SHAPE-A1-L-09,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,4454201.687,4109222.02,3211598.647314358,5006845.392685642,344979.6669999999,1,0.43688239200355583,0.43688239200355583
余额保持法,每天余额收入支出,business_102_a1_l_abundant_t09,F-SHAPE-A1-L-09,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,4377408.238666667,4109222.02,2747886.2293870784,5470557.810612922,268186.21866666665,1,0.6625759250715402,0.6625759250715402
余额保持法,每天余额收入支出,business_102_a1_l_abundant_t10,F-SHAPE-A1-L-10,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,4677206.01,4677206.01,4517019.896153839,4837392.12384616,0.0,1,0.06849649705558318,0.06849649705558318
余额保持法,每天余额收入支出,business_102_a1_l_abundant_t10,F-SHAPE-A1-L-10,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,4979983.934,4677206.01,3655511.535228896,5698900.484771104,302777.9240000006,1,0.43688239200355594,0.43688239200355594
余额保持法,每天余额收入支出,business_102_a1_l_abundant_t10,F-SHAPE-A1-L-10,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,5078247.851333333,4677206.01,3127703.9605870415,6226708.059412958,401041.8413333334,1,0.6625759250715401,0.6625759250715401
余额保持法,每天余额收入支出,business_102_a1_s_abundant_t07,F-SHAPE-A1-S-07,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1606814.4,1606814.4,1551783.8210907655,1661844.9789092343,0.0,1,0.06849649705558325,0.06849649705558325
余额保持法,每天余额收入支出,business_102_a1_s_abundant_t07,F-SHAPE-A1-S-07,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,1530061.5620000002,1606814.4,1255819.9407111206,1957808.8592888792,76752.83799999976,1,0.436882392003556,0.436882392003556
余额保持法,每天余额收入支出,business_102_a1_s_abundant_t07,F-SHAPE-A1-S-07,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,1594766.3123333333,1606814.4,1074496.131250864,2139132.668749136,12048.0876666666,1,0.6625759250715404,0.6625759250715404
余额保持法,每天余额收入支出,business_102_a1_s_abundant_t08,F-SHAPE-A1-S-08,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1243456.79,1245569.69,1202911.1096981955,1288228.2703018044,2112.899999999907,1,0.0684964970555834,0.0684964970555834
余额保持法,每天余额收入支出,business_102_a1_s_abundant_t08,F-SHAPE-A1-S-08,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,1355350.6120000002,1245569.69,973485.9572128362,1517653.4227871636,109780.92200000025,1,0.4368823920035558,0.4368823920035558
余额保持法,每天余额收入支出,business_102_a1_s_abundant_t08,F-SHAPE-A1-S-08,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,1483857.2696666666,1245569.69,832927.4452035893,1658211.9347964106,238287.5796666667,1,0.6625759250715401,0.6625759250715401
余额保持法,每天余额收入支出,business_102_a1_s_abundant_t09,F-SHAPE-A1-S-09,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1805120.55,1802634.32,1740897.2518039134,1864371.3881960867,2486.2299999999814,1,0.06849649705558328,0.06849649705558328
余额保持法,每天余额收入支出,business_102_a1_s_abundant_t09,F-SHAPE-A1-S-09,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,1770565.19,1802634.32,1408864.7231853483,2196403.916814652,32069.13000000012,1,0.43688239200355594,0.43688239200355594
