方法,资料,预测内容,企业数,预测题数,平均绝对误差_cny,实际余额落在范围内比例,平均范围宽度占预测日余额比例,平均漏出范围扣分
ExtraTrees,每天余额收入支出,下一银行营业日的日末余额,8,8,27126.606266991323,0.875,0.027329921201667932,0.04648683304037465
ExtraTrees,每天余额收入支出,以后10个银行营业日的日均余额,8,8,139688.06663692585,0.375,0.09625090221590431,0.21978181309902295
ExtraTrees,每天余额收入支出,以后30个银行营业日的日均余额,8,8,205394.770690176,0.5,0.1154223595960998,0.5582134739886234
ExtraTrees,每天余额收入支出及用途,下一银行营业日的日末余额,8,8,26950.00623428484,0.875,0.02093113509840446,0.04162736104596801
ExtraTrees,每天余额收入支出及用途,以后10个银行营业日的日均余额,8,8,139452.29776886085,0.125,0.06150407846461148,0.24308300402996227
ExtraTrees,每天余额收入支出及用途,以后30个银行营业日的日均余额,8,8,175811.0020885557,0.375,0.07028082715129534,0.5604021777182124
ExtraTrees,逐笔金额余额用途,下一银行营业日的日末余额,8,8,27827.29138240614,0.75,0.019798006375237404,0.041752407101116946
ExtraTrees,逐笔金额余额用途,以后10个银行营业日的日均余额,8,8,97889.67024952237,0.25,0.036800842577678156,0.2599023745464599
ExtraTrees,逐笔金额余额用途,以后30个银行营业日的日均余额,8,8,150969.97756519355,0.375,0.09788924088360267,0.45090266880318003
GRU,每天余额收入支出,下一银行营业日的日末余额,8,8,22022.982245685125,0.875,0.041920394090927064,0.05825247154067782
GRU,每天余额收入支出,以后10个银行营业日的日均余额,8,8,124690.94118044828,0.25,0.05523636576052728,0.25082029022324814
GRU,每天余额收入支出,以后30个银行营业日的日均余额,8,8,174207.5477571745,0.375,0.07567160946393692,0.5521996111723135
GRU,每天余额收入支出及用途,下一银行营业日的日末余额,8,8,25846.18809166798,0.875,0.026572017451587954,0.044347065724590545
GRU,每天余额收入支出及用途,以后10个银行营业日的日均余额,8,8,112565.30195776632,0.5,0.06808731331723966,0.2003836629649585
GRU,每天余额收入支出及用途,以后30个银行营业日的日均余额,8,8,171277.24956207446,0.375,0.06416726077764766,0.5691373859682559
GRU,逐笔金额余额用途,下一银行营业日的日末余额,8,8,21622.32688538867,0.875,0.04043149641655208,0.056458903958347455
GRU,逐笔金额余额用途,以后10个银行营业日的日均余额,8,8,120574.98834732865,0.25,0.0564733363500656,0.2389391858076253
GRU,逐笔金额余额用途,以后30个银行营业日的日均余额,8,8,156311.0412260116,0.375,0.06415129360142288,0.5404693147690776
LSTM,每天余额收入支出,下一银行营业日的日末余额,8,8,23231.70253835735,0.875,0.02838859513550227,0.04666790279509213
LSTM,每天余额收入支出,以后10个银行营业日的日均余额,8,8,116451.50395200399,0.375,0.06691081577019697,0.20733000871589854
LSTM,每天余额收入支出,以后30个银行营业日的日均余额,8,8,177557.5313502216,0.375,0.07642921837641779,0.5620234832590905
LSTM,每天余额收入支出及用途,下一银行营业日的日末余额,8,8,24768.51878698927,0.875,0.02696854046048801,0.04504261041679183
LSTM,每天余额收入支出及用途,以后10个银行营业日的日均余额,8,8,123715.44257505162,0.25,0.05901365605628381,0.23686970971292617
LSTM,每天余额收入支出及用途,以后30个银行营业日的日均余额,8,8,175955.88919616077,0.375,0.07650793167694092,0.549248372810385
LSTM,逐笔金额余额用途,下一银行营业日的日末余额,8,8,31657.804563129466,0.875,0.021372431001061384,0.040277685920646136
LSTM,逐笔金额余额用途,以后10个银行营业日的日均余额,8,8,105252.24946256191,0.5,0.06747058604637143,0.18444169356215293
LSTM,逐笔金额余额用途,以后30个银行营业日的日均余额,8,8,196309.23757261358,0.5,0.09622045739067127,0.5441767926801789
XGBoost,每天余额收入支出,下一银行营业日的日末余额,8,8,23385.840201644372,0.875,0.029602130731717913,0.04761535524806462
XGBoost,每天余额收入支出,以后10个银行营业日的日均余额,8,8,129301.2946442778,0.125,0.050603400443633366,0.2636854799951558
XGBoost,每天余额收入支出,以后30个银行营业日的日均余额,8,8,181790.63213878724,0.375,0.08362846981621114,0.5456717358294432
XGBoost,每天余额收入支出及用途,下一银行营业日的日末余额,8,8,23385.840201644372,0.875,0.029602130731717913,0.04761535524806462
XGBoost,每天余额收入支出及用途,以后10个银行营业日的日均余额,8,8,129301.2946442778,0.125,0.050603400443633366,0.2636854799951558
XGBoost,每天余额收入支出及用途,以后30个银行营业日的日均余额,8,8,181790.63213878724,0.375,0.08362846981621114,0.5456717358294432
XGBoost,逐笔金额余额用途,下一银行营业日的日末余额,8,8,23385.840201644372,0.875,0.029602130731717913,0.04761535524806462
XGBoost,逐笔金额余额用途,以后10个银行营业日的日均余额,8,8,129301.2946442778,0.125,0.050603400443633366,0.2636854799951558
XGBoost,逐笔金额余额用途,以后30个银行营业日的日均余额,8,8,181790.63213878724,0.375,0.08362846981621114,0.5456717358294432
余额保持法,每天余额收入支出,下一银行营业日的日末余额,8,8,18915.078750000015,0.875,0.03497974839635319,0.05299297291269991
余额保持法,每天余额收入支出,以后10个银行营业日的日均余额,8,8,175672.10875000013,0.125,0.06625042649144507,0.3217434259464875
余额保持法,每天余额收入支出,以后30个银行营业日的日均余额,8,8,202969.90366666685,0.5,0.10328682113325917,0.5518606448692736
余额保持法,每天余额收入支出及用途,下一银行营业日的日末余额,8,8,18915.078750000015,0.875,0.03497974839635319,0.05299297291269991
余额保持法,每天余额收入支出及用途,以后10个银行营业日的日均余额,8,8,175672.10875000013,0.125,0.06625042649144507,0.3217434259464875
余额保持法,每天余额收入支出及用途,以后30个银行营业日的日均余额,8,8,202969.90366666685,0.5,0.10328682113325917,0.5518606448692736
余额保持法,逐笔金额余额用途,下一银行营业日的日末余额,8,8,18915.078750000015,0.875,0.03497974839635319,0.05299297291269991
余额保持法,逐笔金额余额用途,以后10个银行营业日的日均余额,8,8,175672.10875000013,0.125,0.06625042649144507,0.3217434259464875
余额保持法,逐笔金额余额用途,以后30个银行营业日的日均余额,8,8,202969.90366666685,0.5,0.10328682113325917,0.5518606448692736
岭回归,每天余额收入支出,下一银行营业日的日末余额,8,8,79988.12677329086,0.875,0.07699649482628568,0.0781820813188632
岭回归,每天余额收入支出,以后10个银行营业日的日均余额,8,8,276694.1791545297,0.5,0.13430209807204996,0.7523418813903902
岭回归,每天余额收入支出,以后30个银行营业日的日均余额,8,8,575518.8998141595,0.5,0.19293576056316225,2.02203091740095
岭回归,每天余额收入支出及用途,下一银行营业日的日末余额,8,8,45241.31892024423,1.0,0.08549169556949254,0.08549169556949254
岭回归,每天余额收入支出及用途,以后10个银行营业日的日均余额,8,8,167904.7644056436,0.75,0.17992523001900534,0.317169402525994
岭回归,每天余额收入支出及用途,以后30个银行营业日的日均余额,8,8,303105.18214016606,0.625,0.30235865389883176,0.7340728176474665
岭回归,逐笔金额余额用途,下一银行营业日的日末余额,8,8,79651.4778714393,1.0,0.1824402439912797,0.1824402439912797
岭回归,逐笔金额余额用途,以后10个银行营业日的日均余额,8,8,137997.05076885154,0.625,0.140289329432813,0.24063372067161648
岭回归,逐笔金额余额用途,以后30个银行营业日的日均余额,8,8,235050.8090040463,0.75,0.24035815616550618,0.5157748586408221
直方图梯度提升树,每天余额收入支出,下一银行营业日的日末余额,8,8,33374.65664770908,0.625,0.026672013069857965,0.05719897587279606
直方图梯度提升树,每天余额收入支出,以后10个银行营业日的日均余额,8,8,102290.72397053413,0.5,0.09959316949575037,0.25000746599851903
直方图梯度提升树,每天余额收入支出,以后30个银行营业日的日均余额,8,8,163112.93301955276,0.625,0.1304337730882475,0.5456983359702207
直方图梯度提升树,每天余额收入支出及用途,下一银行营业日的日末余额,8,8,56905.93899655051,1.0,0.07016130048208881,0.07016130048208881
直方图梯度提升树,每天余额收入支出及用途,以后10个银行营业日的日均余额,8,8,97592.75743145013,0.75,0.09978523952792637,0.1732946000431197
直方图梯度提升树,每天余额收入支出及用途,以后30个银行营业日的日均余额,8,8,152588.16882492436,0.5,0.07534543180532424,0.5149647492516665
直方图梯度提升树,逐笔金额余额用途,下一银行营业日的日末余额,8,8,42162.512312345934,0.75,0.037522270202767875,0.06903475224665953
直方图梯度提升树,逐笔金额余额用途,以后10个银行营业日的日均余额,8,8,110427.36122541784,0.875,0.1269520368442305,0.14373310948303716
直方图梯度提升树,逐笔金额余额用途,以后30个银行营业日的日均余额,8,8,215637.0837327255,0.75,0.2472083098880607,0.3380319373513529
近期趋势延续法,每天余额收入支出,下一银行营业日的日末余额,8,8,54512.58843750003,0.5,0.03464033152268646,0.09188035479610876
近期趋势延续法,每天余额收入支出,以后10个银行营业日的日均余额,8,8,276967.70496875,0.5,0.15995778324569726,0.6971435070494817
近期趋势延续法,每天余额收入支出,以后30个银行营业日的日均余额,8,8,643831.5919895831,0.25,0.3815127588661944,1.7160681515289187
近期趋势延续法,每天余额收入支出及用途,下一银行营业日的日末余额,8,8,54512.58843750003,0.5,0.03464033152268646,0.09188035479610876
近期趋势延续法,每天余额收入支出及用途,以后10个银行营业日的日均余额,8,8,276967.70496875,0.5,0.15995778324569726,0.6971435070494817
近期趋势延续法,每天余额收入支出及用途,以后30个银行营业日的日均余额,8,8,643831.5919895831,0.25,0.3815127588661944,1.7160681515289187
近期趋势延续法,逐笔金额余额用途,下一银行营业日的日末余额,8,8,54512.58843750003,0.5,0.03464033152268646,0.09188035479610876
近期趋势延续法,逐笔金额余额用途,以后10个银行营业日的日均余额,8,8,276967.70496875,0.5,0.15995778324569726,0.6971435070494817
近期趋势延续法,逐笔金额余额用途,以后30个银行营业日的日均余额,8,8,643831.5919895831,0.25,0.3815127588661944,1.7160681515289187
