方法,资料,企业编号,来源组,余额走势,预测日期,预测内容,实际余额_cny,预测余额_cny,预测下限_cny,预测上限_cny,绝对误差_cny,实际余额是否落在范围内,范围宽度占预测日余额比例,漏出范围扣分
余额保持法,每天余额收入支出,business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,长期上升,2025-05-12,下一银行营业日的日末余额,4558638.55,4561266.93,4481490.945209997,4641042.914790003,2628.3799999998882,1,0.03497974839635309,0.03497974839635309
余额保持法,每天余额收入支出,business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,长期上升,2025-05-12,以后10个银行营业日的日均余额,4752485.302,4561266.93,4410173.990273087,4712359.869726912,191218.37200000044,0,0.06625042649144519,0.15422035434017126
余额保持法,每天余额收入支出,business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,长期上升,2025-05-12,以后30个银行营业日的日均余额,4706828.721,4561266.93,4325707.54923002,4796826.31076998,145561.7910000002,1,0.1032868211332592,0.1032868211332592
余额保持法,每天余额收入支出,business_102_a1_l_abundant_t08,F-SHAPE-A1-L-08,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,4594860.55,4452813.77,4374934.617334791,4530692.922665208,142046.78000000026,0,0.03497974839635303,0.17908554452712672
余额保持法,每天余额收入支出,business_102_a1_l_abundant_t08,F-SHAPE-A1-L-08,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,4721474.532,4452813.77,4305313.36432526,4600314.175674739,268660.7620000001,0,0.0662504264914451,0.3383488401766426
余额保持法,每天余额收入支出,business_102_a1_l_abundant_t08,F-SHAPE-A1-L-08,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,4577100.312000001,4452813.77,4222855.280299148,4682772.2597008515,124286.5420000013,1,0.1032868211332593,0.1032868211332593
余额保持法,每天余额收入支出,business_102_a1_l_abundant_t09,F-SHAPE-A1-L-09,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,4109222.02,4109222.02,4037352.243817823,4181091.796182177,0.0,1,0.03497974839635314,0.03497974839635314
余额保持法,每天余额收入支出,business_102_a1_l_abundant_t09,F-SHAPE-A1-L-09,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,4454201.687,4109222.02,3973103.164313481,4245340.875686519,344979.6669999999,0,0.06625042649144512,0.5745237938026644
余额保持法,每天余额收入支出,business_102_a1_l_abundant_t09,F-SHAPE-A1-L-09,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,4377408.238666667,4109222.02,3897007.780111705,4321436.259888295,268186.21866666665,0,0.10328682113325922,0.2394974675912756
余额保持法,每天余额收入支出,business_102_a1_l_abundant_t10,F-SHAPE-A1-L-10,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,4677206.01,4677206.01,4595402.265286144,4759009.754713856,0.0,1,0.034979748396353365,0.034979748396353365
余额保持法,每天余额收入支出,business_102_a1_l_abundant_t10,F-SHAPE-A1-L-10,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,4979983.934,4677206.01,4522272.563524575,4832139.456475425,302777.9240000006,0,0.06625042649144497,0.38234614091685204
余额保持法,每天余额收入支出,business_102_a1_l_abundant_t10,F-SHAPE-A1-L-10,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,5078247.851333333,4677206.01,4435659.139720863,4918752.880279137,401041.8413333334,0,0.10328682113325903,0.44429162338740724
余额保持法,每天余额收入支出,business_102_a1_s_abundant_t07,F-SHAPE-A1-S-07,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1606814.4,1606814.4,1578711.4182841813,1634917.3817158185,0.0,1,0.034979748396353226,0.034979748396353226
余额保持法,每天余额收入支出,business_102_a1_s_abundant_t07,F-SHAPE-A1-S-07,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,1530061.5620000002,1606814.4,1553588.3303537022,1660040.4696462976,76752.83799999976,0,0.0662504264914451,0.21266913143771665
余额保持法,每天余额收入支出,business_102_a1_s_abundant_t07,F-SHAPE-A1-S-07,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,1594766.3123333333,1606814.4,1523833.0242364274,1689795.7757635724,12048.0876666666,1,0.1032868211332591,0.1032868211332591
余额保持法,每天余额收入支出,business_102_a1_s_abundant_t08,F-SHAPE-A1-S-08,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1243456.79,1245569.69,1223784.832816838,1267354.5471831618,2112.899999999907,1,0.0349797483963533,0.0349797483963533
余额保持法,每天余额收入支出,business_102_a1_s_abundant_t08,F-SHAPE-A1-S-08,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,1355350.6120000002,1245569.69,1204309.9284063415,1286829.4515936584,109780.92200000025,0,0.06625042649144501,0.6163694680550027
余额保持法,每天余额收入支出,business_102_a1_s_abundant_t08,F-SHAPE-A1-S-08,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,1483857.2696666666,1245569.69,1181244.2231099803,1309895.1568900195,238287.5796666667,0,0.10328682113325927,1.4999337865603568
余额保持法,每天余额收入支出,business_102_a1_s_abundant_t09,F-SHAPE-A1-S-09,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1805120.55,1802634.32,1771106.4725178843,1834162.1674821158,2486.2299999999814,1,0.034979748396353316,0.034979748396353316
余额保持法,每天余额收入支出,business_102_a1_s_abundant_t09,F-SHAPE-A1-S-09,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,1770565.19,1802634.32,1742921.673745942,1862346.966254058,32069.13000000012,1,0.06625042649144502,0.06625042649144502
余额保持法,每天余额收入支出,business_102_a1_s_abundant_t09,F-SHAPE-A1-S-09,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,1725552.5713333334,1802634.32,1709540.135710743,1895728.504289257,77081.74866666668,1,0.10328682113325906,0.10328682113325906
余额保持法,每天余额收入支出,business_102_a1_s_abundant_t10,F-SHAPE-A1-S-10,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1599206.17,1601252.51,1573246.8050405856,1629258.2149594144,2046.3400000000838,1,0.034979748396353094,0.034979748396353094
余额保持法,每天余额收入支出,business_102_a1_s_abundant_t10,F-SHAPE-A1-S-10,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,1680389.765,1601252.51,1548210.6791460016,1654294.3408539984,79137.25499999989,0,0.06625042649144504,0.2292192523514055
