sample_id,family_id,v3_role,original_family_id
business_102_a1_l_abundant_t01,F-REM57-V3-A1-L-T01-FILTER-FRAME,学习,
business_102_a1_l_abundant_t02,F-REM57-V3-A1-L-T02-WASHER-LATCH,学习,
business_102_a1_l_abundant_t03,F-EXP02-A1-大-03,学习,
business_102_a1_l_abundant_t04,F-EXP02-A1-大-04,学习,
business_102_a1_l_abundant_t05,F-EXP02-A1-大-05,学习,
business_102_a1_l_abundant_t06,F-EXP02-A1-大-06,学习,
business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,开发测试,
business_102_a1_l_abundant_t08,F-SHAPE-A1-L-08,开发测试,
business_102_a1_l_abundant_t09,F-SHAPE-A1-L-09,开发测试,
business_102_a1_l_abundant_t10,F-SHAPE-A1-L-10,开发测试,
business_102_a1_l_abundant_t11,F-R4-A1-L-11,学习,
business_102_a1_l_abundant_t12,F-R4-A1-L-12,学习,
business_102_a1_l_tight_t01,F-REM57-V3-A1-L-T01-FIRE-LATCH,学习,
business_102_a1_l_tight_t02,F-REM57-V3-A1-L-T02-COLDROOM-RAIL,学习,
business_102_a1_m_abundant_t01,F-A1-AUTO-CONNECTOR-01,学习,
business_102_a1_m_abundant_t02,F-A1-INSTRUMENT-ENCLOSURE-02,学习,
business_102_a1_m_abundant_t03,F-ABUND16-A1-M-T03,学习,
business_102_a1_m_abundant_t04,F-R4-A1-M-04,学习,
business_102_a1_m_abundant_t05,F-R4-A1-M-05,学习,
business_102_a1_m_abundant_t06,F-ABUND16-A1-M-T06,学习,
business_102_a1_m_abundant_t07,F-ABUND16-A1-M-T07,学习,
business_102_a1_m_abundant_t08,F-ABUND16-A1-M-T08,学习,
business_102_a1_m_abundant_t09,F-ABUND16-A1-M-T09,学习,
business_102_a1_m_abundant_t10,F-ABUND16-A1-M-T10,学习,
business_102_a1_m_abundant_t11,F-ABUND16-A1-M-T11,学习,
business_102_a1_m_abundant_t12,F-ABUND16-A1-M-T12,学习,
business_102_a1_m_tight_t01,F-REM57-V3-A1-M-T01-SILICONE-SEAL,学习,
business_102_a1_m_tight_t02,F-REM57-V3-A1-M-T02-EPDM-GASKET,学习,
business_102_a1_s_abundant_t01,F-EMPTY6-A1-01,学习,
business_102_a1_s_abundant_t02,F-EMPTY6-A1-02,学习,
business_102_a1_s_abundant_t03,F-EXP02-A1-小-03,学习,
business_102_a1_s_abundant_t04,F-EXP02-A1-小-04,学习,
business_102_a1_s_abundant_t05,F-EXP02-A1-小-05,学习,
business_102_a1_s_abundant_t06,F-EXP02-A1-小-06,学习,
business_102_a1_s_abundant_t07,F-SHAPE-A1-S-07,开发测试,
business_102_a1_s_abundant_t08,F-SHAPE-A1-S-08,开发测试,
business_102_a1_s_abundant_t09,F-SHAPE-A1-S-09,开发测试,
business_102_a1_s_abundant_t10,F-SHAPE-A1-S-10,开发测试,
business_102_a1_s_abundant_t11,F-R4-A1-S-11,学习,
business_102_a1_s_abundant_t12,F-R4-A1-S-12,学习,
business_102_a1_s_tight_t03,F-TM6-A1-03,开发测试,
business_102_a1_s_tight_t04,F-TM6-A1-04,开发测试,
business_102_a2_l_abundant_t01,F-REM57V3-A2L-01,学习,
business_102_a2_l_abundant_t02,F-REM57V3-A2L-02,学习,
business_102_a2_l_abundant_t04,F-EXP02-A2-大-04,学习,
business_102_a2_l_abundant_t05,F-EXP02-A2-大-05,学习,
business_102_a2_l_abundant_t06,F-EXP02-A2-大-06,学习,
business_102_a2_l_abundant_t07,F-SHAPE-A2-L-07,开发测试,
business_102_a2_l_abundant_t08,F-SHAPE-A2-L-08,开发测试,
business_102_a2_l_abundant_t09,F-SHAPE-A2-L-09,开发测试,
business_102_a2_l_abundant_t10,F-SHAPE-A2-L-10,开发测试,
business_102_a2_l_tight_t01,F-REM57V3-A2L-03,学习,
business_102_a2_l_tight_t02,F-REM57V3-A2L-04,学习,
business_102_a2_m_abundant_t01,F-EMPTY1-A2-01,学习,
business_102_a2_m_abundant_t02,F-EMPTY1-A2-02,学习,
business_102_a2_m_abundant_t03,F-EXP01-A2-03,学习,
business_102_a2_m_abundant_t04,F-EXP01-A2-04,学习,
business_102_a2_m_abundant_t05,F-EXP01-A2-05,学习,
business_102_a2_m_abundant_t06,F-EXP01-A2-06,学习,
business_102_a2_m_abundant_t07,F-ABUND16-A2_M_ABUNDANT-T07,学习,
business_102_a2_m_abundant_t09,F-ABUND16-A2_M_ABUNDANT-T09,学习,
business_102_a2_m_abundant_t10,F-ABUND16-A2_M_ABUNDANT-T10,学习,
business_102_a2_m_tight_T04,F-TERRA-TIGHT-A2-04,开发测试,
business_102_a2_m_tight_t03,F-GAP13-02,学习,
business_102_a2_s_abundant_t01,F-REM57-V3-A2-S-T01-SIGN-CLIP,学习,
business_102_a2_s_abundant_t02,F-REM57-V3-A2-S-T02-GARDEN-CATCH,学习,
business_102_a2_s_abundant_t03,F-EXP02-A2-小-03,学习,
business_102_a2_s_abundant_t04,F-EXP02-A2-小-04,学习,
business_102_a2_s_abundant_t05,F-EXP02-A2-小-05,学习,
business_102_a2_s_abundant_t06,F-EXP02-A2-小-06,学习,
business_102_a2_s_abundant_t07,F-SHAPE-A2-S-07,开发测试,
business_102_a2_s_abundant_t08,F-SHAPE-A2-S-08,开发测试,
business_102_a2_s_abundant_t09,F-SHAPE-A2-S-09,开发测试,
business_102_a2_s_abundant_t10,F-SHAPE-A2-S-10,开发测试,
business_102_a2_s_tight_t01,F-EMPTY4-A2-01,学习,
business_102_a2_s_tight_t02,F-EMPTY4-A2-02,学习,
business_102_b1_l_abundant_t01,F-REM57V3-B1L-01,学习,
business_102_b1_l_abundant_t02,F-REM57V3-B1L-02,学习,
business_102_b1_l_abundant_t03,F-EXP03-B1-大-03,学习,
business_102_b1_l_abundant_t04,F-EXP03-B1-大-04,学习,
business_102_b1_l_abundant_t05,F-EXP03-B1-大-05,学习,
business_102_b1_l_abundant_t06,F-EXP03-B1-大-06,学习,
business_102_b1_m_abundant_t01,F-B1-BUDGET2-1-医疗推车钣金部件,学习,
business_102_b1_m_abundant_t02,F-B1-BUDGET2-2-食品输送带组件,学习,
business_102_b1_m_tight_t01,F-REM57V3-B1M-01,学习,
