sample_id,图页,图中位置,日余额CSV
business_102_a1_l_abundant_t01,1,1,data/samples/source_e5aa8206d315a085/account_daily_total.csv
business_102_a1_l_abundant_t02,1,2,data/samples/source_09972ddf983ab8f7/account_daily_total.csv
business_102_a1_l_abundant_t03,1,3,data/samples/source_e7470278bb8d38d7/account_daily_total.csv
business_102_a1_l_abundant_t04,1,4,data/samples/source_ff2080cb6a38a656/account_daily_total.csv
business_102_a1_l_abundant_t05,1,5,data/samples/source_974f1596e91cfdce/account_daily_total.csv
business_102_a1_l_abundant_t06,1,6,data/samples/source_6d0eaf02576c7d22/account_daily_total.csv
business_102_a1_l_abundant_t07,1,7,data/samples/source_dabb7737b010380b/account_daily_total.csv
business_102_a1_l_abundant_t08,1,8,data/samples/source_89e98dd13874792a/account_daily_total.csv
business_102_a1_l_abundant_t09,2,1,data/samples/source_e2e28ca487aec677/account_daily_total.csv
business_102_a1_l_abundant_t10,2,2,data/samples/source_04655fe0a59e3054/account_daily_total.csv
business_102_a1_l_abundant_t11,2,3,data/samples/source_14ee9da062c76e3f/account_daily_total.csv
business_102_a1_l_abundant_t12,2,4,data/samples/source_3ace49658a4272a1/account_daily_total.csv
business_102_a1_l_tight_t01,2,5,data/samples/source_3bd8815f93316594/account_daily_total.csv
business_102_a1_l_tight_t02,2,6,data/samples/source_d44e61d80f213589/account_daily_total.csv
business_102_a1_m_abundant_t01,2,7,data/samples/source_bf4f0eb6216fe09c/account_daily_total.csv
business_102_a1_m_abundant_t02,2,8,data/samples/source_4fc2fd15d3a4924b/account_daily_total.csv
business_102_a1_m_abundant_t03,3,1,data/samples/source_b874649d4de20bfe/account_daily_total.csv
business_102_a1_m_abundant_t04,3,2,data/samples/source_e6c0b832b5ab8664/account_daily_total.csv
business_102_a1_m_abundant_t05,3,3,data/samples/source_75e5e3e7c538d223/account_daily_total.csv
business_102_a1_m_abundant_t06,3,4,data/samples/source_d59a2616b30ee667/account_daily_total.csv
business_102_a1_m_abundant_t07,3,5,data/samples/source_6aac28e1427cfb04/account_daily_total.csv
business_102_a1_m_abundant_t08,3,6,data/samples/source_07cd3e5fc4937953/account_daily_total.csv
business_102_a1_m_abundant_t09,3,7,data/samples/source_d6afcb9badf2e110/account_daily_total.csv
business_102_a1_m_abundant_t10,3,8,data/samples/source_6c8620c049ab1862/account_daily_total.csv
business_102_a1_m_abundant_t11,4,1,data/samples/source_8d37b22e20ed5834/account_daily_total.csv
business_102_a1_m_abundant_t12,4,2,data/samples/source_81a657e4d02eca8a/account_daily_total.csv
business_102_a1_m_tight_t01,4,3,data/samples/source_9027090ddeddb9b7/account_daily_total.csv
business_102_a1_m_tight_t02,4,4,data/samples/source_5dd1178e193e4caf/account_daily_total.csv
business_102_a1_s_abundant_t01,4,5,data/samples/source_7afad3a0265bc01a/account_daily_total.csv
business_102_a1_s_abundant_t02,4,6,data/samples/source_21b1ba0d4d21acea/account_daily_total.csv
business_102_a1_s_abundant_t03,4,7,data/samples/source_bfa9c3e60269a0fe/account_daily_total.csv
business_102_a1_s_abundant_t04,4,8,data/samples/source_f457f8e88dcac135/account_daily_total.csv
business_102_a1_s_abundant_t05,5,1,data/samples/source_d22d7a568fd0c2ff/account_daily_total.csv
business_102_a1_s_abundant_t06,5,2,data/samples/source_4f1a9a246666097c/account_daily_total.csv
business_102_a1_s_abundant_t07,5,3,data/samples/source_12ab6736b052704d/account_daily_total.csv
business_102_a1_s_abundant_t08,5,4,data/samples/source_0c33f7ef0d5afb98/account_daily_total.csv
business_102_a1_s_abundant_t09,5,5,data/samples/source_f737af7d6e43a969/account_daily_total.csv
business_102_a1_s_abundant_t10,5,6,data/samples/source_7c46f46fb9c34883/account_daily_total.csv
business_102_a1_s_abundant_t11,5,7,data/samples/source_704026b941784dab/account_daily_total.csv
business_102_a1_s_abundant_t12,5,8,data/samples/source_fb650964b36cd494/account_daily_total.csv
business_102_a1_s_tight_t03,6,1,data/samples/source_4ebcb4fd35ab2b8b/account_daily_total.csv
business_102_a1_s_tight_t04,6,2,data/samples/source_e76d40978d5d6d26/account_daily_total.csv
business_102_a2_l_abundant_t01,6,3,data/samples/source_408d27cc39fa44c2/account_daily_total.csv
business_102_a2_l_abundant_t02,6,4,data/samples/source_16552f5ef9626933/account_daily_total.csv
business_102_a2_l_abundant_t04,6,5,data/samples/source_a1f9b11ecb7d07af/account_daily_total.csv
business_102_a2_l_abundant_t05,6,6,data/samples/source_98baa91cd1ba63d7/account_daily_total.csv
business_102_a2_l_abundant_t06,6,7,data/samples/source_6982b15091a5ebb0/account_daily_total.csv
business_102_a2_l_abundant_t07,6,8,data/samples/source_07fefca7988eadc3/account_daily_total.csv
business_102_a2_l_abundant_t08,7,1,data/samples/source_698f732419283916/account_daily_total.csv
business_102_a2_l_abundant_t09,7,2,data/samples/source_7f1f8c45f292c324/account_daily_total.csv
business_102_a2_l_abundant_t10,7,3,data/samples/source_b67a5035a61cc917/account_daily_total.csv
business_102_a2_l_tight_t01,7,4,data/samples/source_003cbfef15f466a2/account_daily_total.csv
business_102_a2_l_tight_t02,7,5,data/samples/source_8bd54bec80269b6f/account_daily_total.csv
business_102_a2_m_abundant_t01,7,6,data/samples/source_d356ce459c13a89f/account_daily_total.csv
business_102_a2_m_abundant_t02,7,7,data/samples/source_8ec6d2ca405a5d03/account_daily_total.csv
business_102_a2_m_abundant_t03,7,8,data/samples/source_78a789d3dcd56654/account_daily_total.csv
business_102_a2_m_abundant_t04,8,1,data/samples/source_34b594c142be7106/account_daily_total.csv
business_102_a2_m_abundant_t05,8,2,data/samples/source_60b02a0ae42a251e/account_daily_total.csv
business_102_a2_m_abundant_t06,8,3,data/samples/source_555a8aacb7c3db77/account_daily_total.csv
business_102_a2_m_abundant_t07,8,4,data/samples/source_c2e74caad679d4eb/account_daily_total.csv
business_102_a2_m_abundant_t09,8,5,data/samples/source_0d8766bacc846aa7/account_daily_total.csv
business_102_a2_m_abundant_t10,8,6,data/samples/source_54953e304fa2f020/account_daily_total.csv
business_102_a2_m_tight_T04,8,7,data/samples/source_82f6b0ad2276620a/account_daily_total.csv
business_102_a2_m_tight_t03,8,8,data/samples/source_181dcd52d6c1f242/account_daily_total.csv
business_102_a2_s_abundant_t01,9,1,data/samples/source_b2d9ca684d7abdde/account_daily_total.csv
business_102_a2_s_abundant_t02,9,2,data/samples/source_f974f0776fa72b4e/account_daily_total.csv
business_102_a2_s_abundant_t03,9,3,data/samples/source_3715686d1aa5f54d/account_daily_total.csv
business_102_a2_s_abundant_t04,9,4,data/samples/source_4cb098c6a47fbb74/account_daily_total.csv
business_102_a2_s_abundant_t05,9,5,data/samples/source_23732b8f266acdf9/account_daily_total.csv
business_102_a2_s_abundant_t06,9,6,data/samples/source_f62968d4aba8e5fb/account_daily_total.csv
business_102_a2_s_abundant_t07,9,7,data/samples/source_70e8cdadc7955955/account_daily_total.csv
business_102_a2_s_abundant_t08,9,8,data/samples/source_c3f045f530683f67/account_daily_total.csv
business_102_a2_s_abundant_t09,10,1,data/samples/source_c64bf4135adfcfac/account_daily_total.csv
