sample_id,measured_shape_v3,atlas_page,atlas_position,daily_csv
business_102_a2_l_abundant_t08,冲高回落,,,
business_102_a2_s_abundant_t09,冲高回落,,,
business_102_b3_l_tight_t02,冲高回落,,,
business_102_c1_m_abundant_t05,冲高回落,,,
business_102_c3_l_tight_t02,冲高回落,,,
business_102_d4_m_abundant_t11,冲高回落,,,
business_102_e2_s_abundant_t09,冲高回落,,,
business_102_e2_s_abundant_t11,冲高回落,,,
business_102_e3_m_abundant_t11,冲高回落,,,
business_102_e4_m_tight_t01,冲高回落,,,
business_102_e4_s_tight_t02,冲高回落,,,
matrix_t19_f01_c01_calendar01_revision01_revision01,冲高回落,,,
matrix_t19_f02_c01_calendar01_revision01_revision01,冲高回落,,,
syn_b1_p0_065,冲高回落,,,
syn_b1_p0_084,冲高回落,,,
syn_b1_p0_108,冲高回落,,,
syn_b1_p0_136,冲高回落,,,
syn_b1_p0_211,冲高回落,,,
syn_b1_p0_230,冲高回落,,,
syn_b1_p0_252,冲高回落,,,
v2_t11_contract_r01,冲高回落,,,
v2_t18_contract_r01,冲高回落,,,
v2_t19_contract_r00,冲高回落,,,
v2_t24_contract_r04,冲高回落,,,
business_102_a1_l_abundant_t08,长期U型/后段反弹,,,
business_102_a1_l_abundant_t09,长期U型/后段反弹,,,
business_102_a1_l_abundant_t10,长期U型/后段反弹,,,
business_102_a1_l_abundant_t11,长期U型/后段反弹,,,
business_102_a1_l_tight_t02,长期U型/后段反弹,,,
business_102_a1_m_abundant_t01,长期U型/后段反弹,,,
business_102_a1_m_abundant_t09,长期U型/后段反弹,,,
business_102_a1_m_tight_t01,长期U型/后段反弹,,,
business_102_a1_m_tight_t02,长期U型/后段反弹,,,
business_102_a1_s_abundant_t07,长期U型/后段反弹,,,
business_102_a1_s_abundant_t08,长期U型/后段反弹,,,
business_102_a1_s_abundant_t09,长期U型/后段反弹,,,
business_102_a1_s_abundant_t10,长期U型/后段反弹,,,
business_102_a1_s_tight_t03,长期U型/后段反弹,,,
business_102_a1_s_tight_t04,长期U型/后段反弹,,,
business_102_a2_l_abundant_t09,长期U型/后段反弹,,,
business_102_a2_l_tight_t01,长期U型/后段反弹,,,
business_102_a2_l_tight_t02,长期U型/后段反弹,,,
business_102_a2_m_abundant_t01,长期U型/后段反弹,,,
business_102_a2_m_abundant_t02,长期U型/后段反弹,,,
business_102_a2_s_tight_t01,长期U型/后段反弹,,,
business_102_a2_s_tight_t02,长期U型/后段反弹,,,
business_102_b1_m_abundant_t01,长期U型/后段反弹,,,
business_102_b1_m_abundant_t02,长期U型/后段反弹,,,
business_102_b1_m_tight_t01,长期U型/后段反弹,,,
business_102_b1_m_tight_t02,长期U型/后段反弹,,,
business_102_b1_m_tight_t03,长期U型/后段反弹,,,
business_102_b1_m_tight_t04,长期U型/后段反弹,,,
business_102_b1_s_abundant_t03,长期U型/后段反弹,,,
business_102_b1_s_abundant_t12,长期U型/后段反弹,,,
business_102_b1_s_tight_t01,长期U型/后段反弹,,,
business_102_b1_s_tight_t02,长期U型/后段反弹,,,
business_102_b2_s_abundant_t02,长期U型/后段反弹,,,
business_102_b2_s_abundant_t04,长期U型/后段反弹,,,
business_102_b2_s_abundant_t05,长期U型/后段反弹,,,
business_102_b2_s_abundant_t06,长期U型/后段反弹,,,
business_102_b2_s_tight_t01,长期U型/后段反弹,,,
business_102_b2_s_tight_t02,长期U型/后段反弹,,,
business_102_b3_m_abundant_t01,长期U型/后段反弹,,,
business_102_b3_m_tight_t03,长期U型/后段反弹,,,
business_102_b3_s_tight_t01,长期U型/后段反弹,,,
business_102_b3_s_tight_t02,长期U型/后段反弹,,,
business_102_c1_l_tight_t02,长期U型/后段反弹,,,
business_102_c1_s_abundant_t04,长期U型/后段反弹,,,
business_102_c1_s_abundant_t05,长期U型/后段反弹,,,
business_102_c3_s_abundant_t01,长期U型/后段反弹,,,
business_102_c3_s_abundant_t02,长期U型/后段反弹,,,
business_102_c3_s_tight_t03,长期U型/后段反弹,,,
business_102_c3_s_tight_t04,长期U型/后段反弹,,,
business_102_c4_l_abundant_t01,长期U型/后段反弹,,,
business_102_c4_l_tight_t01,长期U型/后段反弹,,,
business_102_c4_l_tight_t02,长期U型/后段反弹,,,
business_102_c4_m_tight_t03,长期U型/后段反弹,,,
business_102_c4_m_tight_t04,长期U型/后段反弹,,,
business_102_c4_s_tight_t02,长期U型/后段反弹,,,
business_102_d1_m_abundant_t02,长期U型/后段反弹,,,
business_102_d1_s_abundant_t07,长期U型/后段反弹,,,
business_102_d1_s_abundant_t08,长期U型/后段反弹,,,
business_102_d1_s_abundant_t10,长期U型/后段反弹,,,
business_102_d1_s_abundant_t11,长期U型/后段反弹,,,
business_102_d1_s_abundant_t12,长期U型/后段反弹,,,
business_102_d1_s_t03,长期U型/后段反弹,,,
business_102_d1_s_t04,长期U型/后段反弹,,,
business_102_d1_s_t05,长期U型/后段反弹,,,
business_102_d1_s_t06,长期U型/后段反弹,,,
business_102_d2_l_abundant_t01,长期U型/后段反弹,,,
business_102_d2_l_abundant_t07,长期U型/后段反弹,,,
business_102_d2_l_abundant_t08,长期U型/后段反弹,,,
business_102_d2_l_abundant_t10,长期U型/后段反弹,,,
business_102_d2_l_abundant_t11,长期U型/后段反弹,,,
business_102_d2_l_abundant_t12,长期U型/后段反弹,,,
business_102_d2_m_abundant_t07,长期U型/后段反弹,,,
business_102_d2_m_abundant_t08,长期U型/后段反弹,,,
business_102_d2_m_abundant_t11,长期U型/后段反弹,,,
business_102_d2_m_t03,长期U型/后段反弹,,,
business_102_d2_m_t04,长期U型/后段反弹,,,
business_102_d2_m_t05,长期U型/后段反弹,,,
business_102_d2_m_t06,长期U型/后段反弹,,,
business_102_d3_l_abundant_t01,长期U型/后段反弹,,,
business_102_d3_l_tight_t01,长期U型/后段反弹,,,
business_102_d3_l_tight_t02,长期U型/后段反弹,,,
business_102_d3_m_abundant_t02,长期U型/后段反弹,,,
business_102_d3_m_tight_t01,长期U型/后段反弹,,,
business_102_d3_s_abundant_t07,长期U型/后段反弹,,,
business_102_d3_s_abundant_t10,长期U型/后段反弹,,,
business_102_d3_s_abundant_t11,长期U型/后段反弹,,,
business_102_d3_s_abundant_t12,长期U型/后段反弹,,,
business_102_d3_s_tight_t02,长期U型/后段反弹,,,
business_102_d4_m_abundant_t01,长期U型/后段反弹,,,
business_102_d4_m_abundant_t02,长期U型/后段反弹,,,
