calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2025-01-01,3600000.00,0.00,1,3600000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_496be22150d6a0ead370a09d,trusted,historical_transaction_override,historical_transaction_override,True,1,2025-01-02,complete
2025-01-02,0.00,0.00,0,3600000.00,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,2,2025-01-03,complete
2025-01-03,0.00,96283.45,2,3503716.55,last_posted_transaction_or_prior_closing_balance,synb1_txn_96620a04d9d893cd9d7522c5,trusted,weekday_rule,base_calendar,True,3,2025-01-06,complete
2025-01-04,0.00,0.00,0,3503716.55,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-05,0.00,0.00,0,3503716.55,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-06,0.00,0.00,0,3503716.55,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,4,2025-01-07,complete
2025-01-07,0.00,155686.50,1,3348030.05,last_posted_transaction_or_prior_closing_balance,synb1_txn_9c92bef2b715cb6cadbc2224,trusted,weekday_rule,base_calendar,True,5,2025-01-08,complete
2025-01-08,0.00,0.00,0,3348030.05,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,6,2025-01-09,complete
2025-01-09,0.00,0.00,0,3348030.05,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,7,2025-01-10,complete
2025-01-10,0.00,0.00,0,3348030.05,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,8,2025-01-12,complete
2025-01-11,0.00,0.00,0,3348030.05,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,False,,,complete
2025-01-12,0.00,59476.15,2,3288553.90,last_posted_transaction_or_prior_closing_balance,synb1_txn_b1279337cd61372f403d17a2,trusted,historical_transaction_override,historical_transaction_override,True,9,2025-01-13,complete
2025-01-13,92471.79,0.00,1,3381025.69,last_posted_transaction_or_prior_closing_balance,synb1_txn_4994c5a1ab02ec89314d95dc,trusted,weekday_rule,base_calendar,True,10,2025-01-14,complete
2025-01-14,0.00,0.00,0,3381025.69,last_posted_transaction_or_prior_closing_balance,,trusted,weekday_rule,base_calendar,True,11,2025-01-15,complete
2025-01-15,113400.00,61291.00,3,3433134.69,last_posted_transaction_or_prior_closing_balance,synb1_txn_40bae8be86c7e66171567597,trusted,weekday_rule,base_calendar,True,12,2025-01-16,complete
2025-01-16,76657.77,20041.37,2,3489751.09,last_posted_transaction_or_prior_closing_balance,synb1_txn_98eab33f020aeba12aaa9a4c,trusted,weekday_rule,base_calendar,True,13,2025-01-17,complete
2025-01-17,57794.87,0.00,1,3547545.96,last_posted_transaction_or_prior_closing_balance,synb1_txn_7ac8ed1df932ea38f8897c3e,trusted,weekday_rule,base_calendar,True,14,2025-01-18,complete
2025-01-18,0.00,70536.90,3,3477009.06,last_posted_transaction_or_prior_closing_balance,synb1_txn_d3d6ecaba00c05cd910dd1e3,trusted,historical_transaction_override,historical_transaction_override,True,15,2025-01-19,complete
2025-01-19,63000.00,36438.85,2,3503570.21,last_posted_transaction_or_prior_closing_balance,synb1_txn_a3d475cf41a3168bf4e2c676,trusted,historical_transaction_override,historical_transaction_override,True,16,2025-01-20,complete
