transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_c860fe927e3ad25536547f10,2024-01-01T09:00:00,流入,6200000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4f7ac2a051ab0a1afa0359ff,2024-01-03T09:00:00,流出,1692.67,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b55801e4670c019b8a093c1d,2024-01-04T15:00:00,流入,38420.17,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_34b934b3152b89190be80f44,2024-01-05T09:00:00,流出,80000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b2c9445077ef44f5a138e313,2024-01-06T15:00:00,流入,378306.37,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5b550307787db34299720e9d,2024-01-07T09:00:00,流出,290000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0e70ca185392cee9dc7666ab,2024-01-10T15:00:00,流入,23851.08,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3d67d09e9e36ed6adb135945,2024-01-11T09:00:00,流出,43113.64,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_eed885178f01da22b8fbb6d9,2024-01-11T15:00:00,流入,95832.35,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_bb1661beb8bb3e62a47f4d1c,2024-01-12T09:00:00,流出,1297591.64,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5c4e9c3c777b1e742bd3de3a,2024-01-14T15:00:00,流入,271725.02,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_89d2a30ed557cc45eb978d17,2024-01-15T09:00:00,流出,63968.56,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_17f097d08b8a9a1675f2ec71,2024-01-18T15:00:00,流入,61219.31,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_000f17ef3144a47aee76c506,2024-01-19T15:00:00,流入,136290.22,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0cad8c5763112ced7df17c2e,2024-01-20T15:00:00,流入,231855.48,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4b47f0550a88da9ba96c6ad5,2024-01-22T09:00:00,流出,509689.80,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d40bd792e600c434eae09cf3,2024-01-25T09:00:00,流出,450000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d9445ac3b4a4c8e38e73149d,2024-01-27T09:00:00,流出,5193.69,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5cd41a8323d1dc939b16afd6,2024-02-03T15:00:00,流入,219347.97,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c02b01fb3233b71701c05b80,2024-02-05T09:00:00,流出,80000.00,支付租赁及场地费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_fca956783cbfab3974cc52a5,2024-02-05T09:00:00,流出,153396.12,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2a5cf3edd1429f9aaeeff62f,2024-02-07T09:00:00,流出,20753.47,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_de1b5720c190e6e4ff60e758,2024-02-07T09:00:00,流出,290000.00,支付当期工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_826f4faf4815551ed60e1f49,2024-02-08T09:00:00,流出,526293.44,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c45c5d95d6b9252ee82d4f92,2024-02-08T15:00:00,流入,31327.19,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b2441c3437b09bf1eff29f0b,2024-02-09T15:00:00,流入,26292.06,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_03a5374e7caf52a6a96906c6,2024-02-09T15:00:00,流入,109182.50,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3ba52ea7a97c7438e0deded2,2024-02-10T09:00:00,流出,59949.48,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1778a37006265164c44249d2,2024-02-11T09:00:00,流出,232428.37,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0472c05fbd4b97b331b92864,2024-02-11T09:00:00,流出,90186.58,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1a1d9765c805c510c8a58df1,2024-02-14T09:00:00,流出,125088.58,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0b063b758d733563e44d28aa,2024-02-14T09:00:00,流出,331019.59,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_a2c84368c7e516751409f6a5,2024-02-18T09:00:00,流出,22500.00,缴纳模拟增值税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5ba772b694e597d7282fe292,2024-02-18T09:00:00,流出,2700.00,缴纳附加税,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ab74b52e05a1c19819092e7a,2024-02-20T09:00:00,流出,350000.00,支付设备合同分期款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1be3cb5342a73ed094cce5a0,2024-02-20T15:00:00,流入,14020.28,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_206f4089227b0944c9e00712,2024-02-21T09:00:00,流出,183853.60,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8c48ca829f54d32d29dcb3e9,2024-02-21T09:00:00,流出,102415.69,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_25bbdaa0a646656595d519ef,2024-02-21T15:00:00,流入,58514.46,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9f6aebe9b7a97ec1ebda36ff,2024-02-21T15:00:00,流入,538258.34,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6cc0fdfe0072bcbc2f5cc637,2024-02-23T09:00:00,流出,27837.11,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_041f6d56e095f8cd16575bb9,2024-02-23T15:00:00,流入,774801.27,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ed4795276f3608fb3a7b86a7,2024-02-24T09:00:00,流出,1409.42,支付经营维护费用,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1c2fd0a2ce07cc940ef5e4d9,2024-02-24T09:00:00,流出,117398.22,支付已承诺材料及外协款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c480536d0c05b13d40962b15,2024-02-25T15:00:00,流入,304016.23,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1805848cede0412e920b9662,2024-02-27T15:00:00,流入,116348.16,客户支付已交付订单款,仅供人工查看；不得作为模型输入或导入数据库
