calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2024-01-01,1150000.00,0.00,1,1150000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_1f81ef7e3f2101dd92a84f9f,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-02,0.00,16918.17,1,1133081.83,last_posted_transaction_or_prior_closing_balance,synb1_txn_94bff63b826905316d40e86d,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,1,2024-01-03,complete
2024-01-03,20923.45,0.00,1,1154005.28,last_posted_transaction_or_prior_closing_balance,synb1_txn_e2575647c95bb21ca8c07740,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,2,2024-01-04,complete
2024-01-04,0.00,2571.52,1,1151433.76,last_posted_transaction_or_prior_closing_balance,synb1_txn_f8012c24d317cad427a37cd7,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,3,2024-01-05,complete
2024-01-05,0.00,26000.00,1,1125433.76,last_posted_transaction_or_prior_closing_balance,synb1_txn_b8643def9896f80c88e6678a,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,4,2024-01-08,complete
2024-01-06,0.00,0.00,0,1125433.76,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-07,0.00,23312.90,1,1102120.86,last_posted_transaction_or_prior_closing_balance,synb1_txn_a28e876b1a4858e49855d5fc,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-08,0.00,0.00,0,1102120.86,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,5,2024-01-09,complete
2024-01-09,0.00,0.00,0,1102120.86,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,6,2024-01-10,complete
2024-01-10,0.00,0.00,0,1102120.86,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,7,2024-01-11,complete
2024-01-11,0.00,22.15,1,1102098.71,last_posted_transaction_or_prior_closing_balance,synb1_txn_b9103d0b3fd0b2c771ef26fb,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,8,2024-01-12,complete
2024-01-12,0.00,9548.38,1,1092550.33,last_posted_transaction_or_prior_closing_balance,synb1_txn_cb9cf391da1432bce156a7ec,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,9,2024-01-15,complete
2024-01-13,0.00,92509.39,2,1000040.94,last_posted_transaction_or_prior_closing_balance,synb1_txn_e832ab4a99089f5339f2bd20,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-14,94925.37,0.00,3,1094966.31,last_posted_transaction_or_prior_closing_balance,synb1_txn_140821001e8e1d7bcb1f7949,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
