transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_57437a468a18fe913fc6cc1f,2025-01-01T09:00:00,流入,3188288.13,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8e0f29b1490d89fdcc0915b6,2025-01-07T16:51:45,流出,6117.35,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1683171008fda66403af78fb,2025-01-11T10:46:10,流出,28138.95,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_463843abafe25df626459dc6,2025-01-11T13:50:38,流出,163744.53,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6e991c50060fc5946422f8a7,2025-01-12T14:37:43,流出,22304.28,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0fa3141ccdf3405074178d2e,2025-01-17T15:51:29,流入,237184.46,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f443181f1e094e356a582eaa,2025-01-18T13:17:57,流出,5709.28,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ef0e6f0e80d3acfde4926706,2025-01-19T14:07:23,流入,283333.60,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6e16ac93db27e8af6b2fc32c,2025-01-19T17:42:53,流出,25840.37,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0b2e92723989803ac80aefb5,2025-01-23T14:19:00,流出,143137.33,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_db82c2548ba7f44087a58334,2025-01-24T09:34:11,流出,5580.58,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8195b1dde043ab9fdc7d62b0,2025-01-24T16:27:17,流出,193441.14,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_747a6a2596429f76d084fefa,2025-01-25T09:14:34,流出,6632.78,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1767744f09c382cae0419bfd,2025-01-29T14:33:57,流出,202193.29,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_d90b727ce04669ebadad8b56,2025-01-29T16:29:36,流出,22646.40,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ef7706489d479302b4b96dbc,2025-01-30T13:30:50,流入,255874.62,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b49dd02bedc8311bb87b8150,2025-01-31T13:15:20,流入,212907.32,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e22ee538422f8dfcf5b44b05,2025-02-01T13:07:29,流出,19620.52,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6ab65b2532f5f9303d82151e,2025-02-01T15:49:41,流入,161277.76,销售回款,仅供人工查看；不得作为模型输入或导入数据库
