transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_997f1fe1ec86a5746925f562,2025-01-01T09:00:00,流入,873895.63,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_e96bf03d748c02862ce9c556,2025-01-03T13:10:18,流出,2476.20,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9bda69471635c9bb6d821fd7,2025-01-07T11:49:16,流出,2219.14,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_854b16bb713bccd700d3a7fd,2025-01-15T15:19:46,流出,7449.83,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_060f3240057931c27b34729a,2025-01-22T14:50:59,流出,3016.37,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_687afb3eca5393a158a15e09,2025-01-23T11:30:05,流出,7525.19,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_48ff143509da38b867e3bd66,2025-01-23T15:48:58,流出,7544.25,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3c7ee3cd947a6e77e6331ba4,2025-01-27T13:30:20,流出,2064.29,房租或水电费,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_7830d30d8f1b79bffbb6abc5,2025-01-30T13:45:41,流出,8079.61,工资发放,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_f5c119a251764ed7fdee0a70,2025-02-03T09:00:00,流入,733200.00,银行借款到账,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_52bf3b8f63b5643d9a97386f,2025-02-03T09:49:31,流出,102593.06,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c0b546961af68b27ace97eb2,2025-02-04T15:02:03,流入,50586.06,销售回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6e01c158e2fe31029d3c4195,2025-02-05T12:28:53,流出,122281.63,原材料或采购付款,仅供人工查看；不得作为模型输入或导入数据库
