calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2024-01-01,1837500.00,0.00,1,1837500.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_9157600e3a3648bcfd3e3082,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-02,0.00,35773.00,1,1801727.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_ba945d6936ff4403385bb959,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,1,2024-01-03,complete
2024-01-03,0.00,0.00,0,1801727.00,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,2,2024-01-04,complete
2024-01-04,0.00,1207.46,1,1800519.54,last_posted_transaction_or_prior_closing_balance,synb1_txn_28d98a6a8cb3b5014917e9eb,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,3,2024-01-05,complete
2024-01-05,56907.34,5800.00,2,1851626.88,last_posted_transaction_or_prior_closing_balance,synb1_txn_418a70507b35a6e8b20e2e32,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,4,2024-01-08,complete
2024-01-06,0.00,0.00,0,1851626.88,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-07,0.00,25000.00,1,1826626.88,last_posted_transaction_or_prior_closing_balance,synb1_txn_d9efb5a42051ad35cc88bea1,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-08,0.00,0.00,0,1826626.88,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,5,2024-01-09,complete
2024-01-09,0.00,6811.71,2,1819815.17,last_posted_transaction_or_prior_closing_balance,synb1_txn_e0f513bb78f347d62a0d47bb,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,6,2024-01-10,complete
2024-01-10,5640.25,372.42,2,1825083.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_2c74c6cbc72f110ed78a7ff0,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,7,2024-01-11,complete
2024-01-11,0.00,3336.53,1,1821746.47,last_posted_transaction_or_prior_closing_balance,synb1_txn_cd365f0e37a955832101a051,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,8,2024-01-12,complete
2024-01-12,9458.99,0.00,1,1831205.46,last_posted_transaction_or_prior_closing_balance,synb1_txn_04f437ffd8477549299fd61d,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,9,2024-01-15,complete
2024-01-13,0.00,0.00,0,1831205.46,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
