transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_865fbeec89ba6e5f9f5f410f,2024-01-01T09:00:00,0.00,520000.00,520000.00
synb1_txn_9ea521e5414afd464ab16dee,2024-01-02T09:00:00,25365.18,0.00,494634.82
synb1_txn_5c096bed05f5d35d71c3cf6a,2024-01-03T15:00:00,0.00,6112.70,500747.52
synb1_txn_a898dfea955c2230a912e234,2024-01-04T15:00:00,0.00,17123.08,517870.60
synb1_txn_5aa36295610add752bf07f13,2024-01-05T09:00:00,6500.00,0.00,511370.60
synb1_txn_ccb90cebb4e355eb31ab271d,2024-01-07T09:00:00,27000.00,0.00,484370.60
synb1_txn_4da06886d4e2ac68fcddb443,2024-01-09T09:00:00,21260.71,0.00,463109.89
synb1_txn_e31de8e0b37d378cbaa6b9db,2024-01-09T09:00:00,102594.61,0.00,360515.28
synb1_txn_98be1d71fa0389a8239893ed,2024-01-14T15:00:00,0.00,12685.88,373201.16
synb1_txn_1acd0e8b656a9f24dd65bfe0,2024-01-17T09:00:00,1764.22,0.00,371436.94
synb1_txn_2b4ce8f40e01b96a4796c203,2024-01-17T09:00:00,291.93,0.00,371145.01
synb1_txn_37fb34149392fb4e2778cb57,2024-01-20T15:00:00,0.00,54743.15,425888.16
synb1_txn_d398d1608db560150aedd52d,2024-01-21T15:00:00,0.00,14511.20,440399.36
synb1_txn_e50ab7aa9658aa79b77ed159,2024-01-23T09:00:00,2271.39,0.00,438127.97
synb1_txn_37aee1d478d95126e1a5db45,2024-01-25T09:00:00,1172.46,0.00,436955.51
synb1_txn_f800e5d9f9fe7f0dfcf53211,2024-01-25T09:00:00,4431.49,0.00,432524.02
synb1_txn_462659915e8b50e4d8900fa9,2024-01-27T09:00:00,5314.17,0.00,427209.85
synb1_txn_f69a9a1fbc8a8e9d489e930b,2024-01-27T09:00:00,13983.84,0.00,413226.01
synb1_txn_12d1b86d4bf725cfb0a19fa0,2024-01-27T15:00:00,0.00,26423.93,439649.94
synb1_txn_a9b688a0477a1380644dd4d9,2024-01-28T15:00:00,0.00,400.06,440050.00
synb1_txn_9c6914f3e2d0d8a98d398a96,2024-02-02T09:00:00,30153.72,0.00,409896.28
synb1_txn_deda819262caea77e1ac2d14,2024-02-03T15:00:00,0.00,25962.33,435858.61
