epoch,train_account_scaled_pinball_loss,calibration_account_scaled_pinball_loss,improved,training_seed,c2d_version
1,0.1845037001,0.0852342775,true,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
2,0.0757729528,0.0632449710,true,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
3,0.0646257628,0.0576699134,true,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
4,0.0599698606,0.0542197745,true,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
5,0.0573731536,0.0524083001,true,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
6,0.0553381714,0.0501939584,true,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
7,0.0534968099,0.0483946832,true,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
8,0.0520796523,0.0477046507,true,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
9,0.0510346167,0.0483703006,false,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
10,0.0499079341,0.0464318801,true,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
11,0.0492143688,0.0460716633,true,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
12,0.0483105909,0.0444046982,true,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
13,0.0477038788,0.0441854575,true,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
14,0.0472271315,0.0441117189,false,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
15,0.0468006453,0.0439328754,true,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
16,0.0463818251,0.0439813200,false,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
17,0.0459517554,0.0436713855,true,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
18,0.0457689094,0.0435838144,false,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
19,0.0454359072,0.0431683753,true,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
20,0.0451519504,0.0435818127,false,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
21,0.0448635449,0.0439614072,false,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
22,0.0447235291,0.0458003179,false,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
23,0.0445940875,0.0427997585,true,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
24,0.0442013331,0.0426871337,true,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
25,0.0439122452,0.0425216098,true,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
26,0.0436230458,0.0421804633,true,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
27,0.0436742165,0.0429634777,false,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
28,0.0434066923,0.0424895723,false,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
29,0.0432207528,0.0436459893,false,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
30,0.0430846856,0.0431545388,false,2026083103,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
