transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_3cfb4a679df8aacb79ca6287,2025-01-01T09:00:00,0.00,11911445.34,11911445.34
synb1_txn_e2cbd1923ad7fce9720f0d3b,2025-01-05T10:11:08,275517.24,0.00,11635928.10
synb1_txn_05ce42ebc3c64a7f30558bd5,2025-01-06T15:15:20,124202.34,0.00,11511725.76
synb1_txn_79c95c1e3ad96fcb65d0a328,2025-01-10T10:31:59,126649.52,0.00,11385076.24
synb1_txn_01b08988050de7e67028b6b5,2025-01-10T15:51:37,1820040.00,0.00,9565036.24
synb1_txn_04b1915841bb82f97be3a83c,2025-01-23T14:08:58,134061.93,0.00,9430974.31
synb1_txn_551bcfc50f49282c32ce3ce3,2025-01-30T09:48:33,0.00,1338616.38,10769590.69
synb1_txn_e1e24bf4c239f7112b8d954f,2025-02-02T12:41:37,125844.43,0.00,10643746.26
synb1_txn_08d7a5e10e6de11857f79870,2025-02-03T09:00:00,0.00,29172414.00,39816160.26
synb1_txn_e5b2c63a6ff569eda1da439c,2025-02-03T16:59:18,889374.64,0.00,38926785.62
synb1_txn_f70fca3385b1d7fae5521d7e,2025-02-04T11:27:28,275517.24,0.00,38651268.38
synb1_txn_89d296feaa133f798a81a3a1,2025-02-04T12:53:13,136232.83,0.00,38515035.55
synb1_txn_139ebc0ffb6435930154dbc9,2025-02-04T16:46:02,122836.53,0.00,38392199.02
synb1_txn_79aecef8a30eb6a09ac89f65,2025-02-09T13:11:26,858101.81,0.00,37534097.21
synb1_txn_74a6c0f3beba3a02eb0af285,2025-02-18T11:31:22,1820040.00,0.00,35714057.21
synb1_txn_4c6b210361cb6adaf7036cdb,2025-02-20T11:11:11,0.00,5313771.57,41027828.78
synb1_txn_a452460898c52b460207c550,2025-02-25T09:00:00,90133.50,0.00,40937695.28
synb1_txn_7eaa9c8f461ca0174af43e8c,2025-02-25T09:00:00,10816.02,0.00,40926879.26
synb1_txn_1a863405954fb46583974a52,2025-03-03T09:00:00,102942.66,0.00,40823936.60
synb1_txn_eacbae94824a72488dfc9f51,2025-03-05T14:42:19,275517.24,0.00,40548419.36
synb1_txn_81fae66edc31bb2b4257f006,2025-03-05T17:27:27,848781.04,0.00,39699638.32
synb1_txn_9cb7b55dc70b8f536d31131b,2025-03-06T16:32:32,1820040.00,0.00,37879598.32
synb1_txn_1b0b49f7de992550bf3155a2,2025-03-09T14:37:08,809765.14,0.00,37069833.18
