transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_5357cb7fd839cd47d9cede8a,2024-01-01T09:00:00,流入,3600000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9d0923c9dc70d2d6a3815789,2024-01-03T09:00:00,流出,60000.00,投用设备购买款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_295743042ff2a42e6347da48,2024-01-03T09:00:00,流出,34570.19,固定场地租赁付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c2491cc03812bc86f2fb5740,2024-01-07T09:00:00,流出,127571.72,持续服务班组工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_1afaf312bfd6d477b387a7ec,2024-01-07T15:00:00,流入,5343.75,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_68dc8ec969624d8ee5419b6a,2024-01-09T15:00:00,流入,6367.02,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_b18e372636e759c8515542bb,2024-01-09T15:00:00,流入,13294.20,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_3fd83860d9f962d413b7c38d,2024-01-10T09:00:00,流出,49519.13,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_ba817bb77e797a6502ace181,2024-01-10T15:00:00,流入,12317.40,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4131a6edb6a3d434daa6f681,2024-01-11T09:00:00,流出,32041.79,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4aa265a287dac4f114154b9a,2024-01-11T15:00:00,流入,8906.25,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5c37e6038c36f2bf57c8cb45,2024-01-12T15:00:00,流入,11834.05,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
