calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2024-01-01,1450000.00,0.00,1,1450000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_d722f89995cf1eb6db8e3916,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-02,1529.42,0.00,1,1451529.42,last_posted_transaction_or_prior_closing_balance,synb1_txn_394495216208e83043d092d3,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,1,2024-01-03,complete
2024-01-03,15218.05,0.00,2,1466747.47,last_posted_transaction_or_prior_closing_balance,synb1_txn_e9e786e23560ca2ad2c887df,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,2,2024-01-04,complete
2024-01-04,0.00,3026.73,1,1463720.74,last_posted_transaction_or_prior_closing_balance,synb1_txn_892c0004e6000c07ce75b787,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,3,2024-01-05,complete
2024-01-05,0.00,8000.00,1,1455720.74,last_posted_transaction_or_prior_closing_balance,synb1_txn_f55bc03ac1fb5cf088579aba,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,4,2024-01-08,complete
2024-01-06,12587.55,0.00,3,1468308.29,last_posted_transaction_or_prior_closing_balance,synb1_txn_b098758f8aedc1b41fb96461,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-07,0.00,25000.00,1,1443308.29,last_posted_transaction_or_prior_closing_balance,synb1_txn_48a026f358cc408c4abaef4e,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-08,0.00,0.00,0,1443308.29,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,5,2024-01-09,complete
2024-01-09,0.00,0.00,0,1443308.29,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,6,2024-01-10,complete
2024-01-10,25735.60,0.00,1,1469043.89,last_posted_transaction_or_prior_closing_balance,synb1_txn_09708e9393a5f7f6b77b3ed0,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,7,2024-01-11,complete
2024-01-11,1637.59,0.00,1,1470681.48,last_posted_transaction_or_prior_closing_balance,synb1_txn_050e0f9057876549b7776d0c,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,8,2024-01-12,complete
