transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_18d71b6e1a328387cd5b54ab,2024-01-01T09:00:00,0.00,4960000.00,4960000.00
synb1_txn_72ff2024c90ab3996fff7cae,2024-01-03T09:00:00,320.97,0.00,4959679.03
synb1_txn_2a4cc7676dbbb31180d4759a,2024-01-03T15:00:00,0.00,406916.72,5366595.75
synb1_txn_fa102157e383f5ef8f125017,2024-01-05T09:00:00,31000.00,0.00,5335595.75
synb1_txn_855924874d6b209dc1c17e84,2024-01-07T09:00:00,83000.00,0.00,5252595.75
synb1_txn_33aeabe118248ad91157349f,2024-01-10T15:00:00,0.00,29441.92,5282037.67
synb1_txn_50bd0ac206497dc457e3f2f6,2024-01-11T09:00:00,88026.20,0.00,5194011.47
synb1_txn_ead7584f878ff185303c7819,2024-01-12T09:00:00,25524.37,0.00,5168487.10
synb1_txn_c09150b585c78d55783fd705,2024-01-12T09:00:00,14995.37,0.00,5153491.73
synb1_txn_6ebf8e4269ca67a81f03faeb,2024-01-15T09:00:00,174087.61,0.00,4979404.12
synb1_txn_b20a35523f6abd76354a687d,2024-01-16T09:00:00,16679.03,0.00,4962725.09
synb1_txn_9ef1e6d5d44b41c1fd276875,2024-01-18T09:00:00,18246.45,0.00,4944478.64
synb1_txn_6f4df88a1f5297eb1d57a76d,2024-01-18T15:00:00,0.00,33641.36,4978120.00
synb1_txn_216974705e01b4e1fab5ac8d,2024-02-03T09:00:00,51234.93,0.00,4926885.07
synb1_txn_67a174273a80f01a18f256a7,2024-02-04T09:00:00,34763.27,0.00,4892121.80
synb1_txn_cbd85431121e27ccbad3e495,2024-02-05T09:00:00,1210.98,0.00,4890910.82
synb1_txn_2c74f77af835c765180cec7d,2024-02-05T09:00:00,31000.00,0.00,4859910.82
synb1_txn_26ea9e1dcb75b293c6fb0d22,2024-02-07T09:00:00,83000.00,0.00,4776910.82
synb1_txn_dc72a578f4c8cd931806c790,2024-02-07T15:00:00,0.00,62550.35,4839461.17
synb1_txn_e9c02748c19be16bcf3183b2,2024-02-08T15:00:00,0.00,346.05,4839807.22
synb1_txn_00a5c104569a63dd1bbb973a,2024-02-09T09:00:00,397010.30,0.00,4442796.92
synb1_txn_4865f049cb6afd43f56744f7,2024-02-09T15:00:00,0.00,131018.31,4573815.23
synb1_txn_bdcfd21bd148c53881144d64,2024-02-10T09:00:00,29224.99,0.00,4544590.24
synb1_txn_0c40c878870c8f244eaabf19,2024-02-10T15:00:00,0.00,164564.03,4709154.27
synb1_txn_b1a8999a9ee0ae5e671f23f5,2024-02-11T15:00:00,0.00,150202.58,4859356.85
synb1_txn_8a2cb6f4abc6bf8a21cb4b74,2024-02-12T09:00:00,5326.88,0.00,4854029.97
synb1_txn_34d5d42d792d20468be37e03,2024-02-13T15:00:00,0.00,13415.26,4867445.23
synb1_txn_6e0e6e3ce6d9ddb98a11cc89,2024-02-13T15:00:00,0.00,11113.28,4878558.51
synb1_txn_be37d3f6abbb3ec99116127b,2024-02-14T09:00:00,38170.73,0.00,4840387.78
synb1_txn_a857d669092972a7d2b3dc5b,2024-02-15T09:00:00,10349.12,0.00,4830038.66
synb1_txn_66a1a1544cc489f144db766d,2024-02-16T09:00:00,4557.31,0.00,4825481.35
synb1_txn_b5412e0a4d307ff3b10b6cac,2024-02-16T15:00:00,0.00,5066.60,4830547.95
synb1_txn_6e1d7d96e658c7d93f00d9af,2024-02-16T15:00:00,0.00,63406.73,4893954.68
synb1_txn_da646445bc43c1694688a01c,2024-02-18T09:00:00,24334.40,0.00,4869620.28
synb1_txn_bf2d693b3c20fe5cd55c2c89,2024-02-18T09:00:00,9400.00,0.00,4860220.28
synb1_txn_c34f6e18488d6d28893f609e,2024-02-18T09:00:00,1128.00,0.00,4859092.28
synb1_txn_e1fbeb5a0b3f63b526bbc805,2024-02-18T15:00:00,0.00,160487.45,5019579.73
synb1_txn_5753e93820358f971ecfd0bd,2024-02-19T15:00:00,0.00,51790.98,5071370.71
synb1_txn_765711018608c50b4d42a69b,2024-02-20T09:00:00,3959.65,0.00,5067411.06
synb1_txn_c163ee609330dd73671995de,2024-02-21T09:00:00,882.59,0.00,5066528.47
synb1_txn_a1366d155b57fb0ca41377bd,2024-02-22T09:00:00,61599.55,0.00,5004928.92
synb1_txn_34c4d2a629702ddadbd48afa,2024-02-23T09:00:00,160000.00,0.00,4844928.92
synb1_txn_5ee1593d30203118b0eb02ac,2024-02-23T15:00:00,0.00,53884.89,4898813.81
synb1_txn_9468a58bdb9c3010146fedc4,2024-02-26T09:00:00,198909.70,0.00,4699904.11
synb1_txn_88486f71d53a76a69a8d82f0,2024-02-26T15:00:00,0.00,38800.60,4738704.71
synb1_txn_7da8d71dac6d82a58b006a3d,2024-02-27T15:00:00,0.00,5616.92,4744321.63
synb1_txn_d4ffbd4dcdef7d60646911d2,2024-02-28T15:00:00,0.00,2735.97,4747057.60
synb1_txn_191653e1dd0810798921ff4d,2024-03-03T15:00:00,0.00,60681.11,4807738.71
synb1_txn_2cdcccc659029f0ffdd78301,2024-03-04T15:00:00,0.00,56443.41,4864182.12
synb1_txn_e1d48445228c19fd1577bb21,2024-03-05T09:00:00,31000.00,0.00,4833182.12
synb1_txn_6345d2192fb208bbbcdcf2aa,2024-03-06T09:00:00,4211.33,0.00,4828970.79
synb1_txn_da7d41a7a7fcdec6500de266,2024-03-07T09:00:00,83000.00,0.00,4745970.79
synb1_txn_ceb4147282239fd4cc1b6c2f,2024-03-07T15:00:00,0.00,40932.31,4786903.10
synb1_txn_d6ad5205b4d6ca682b48e404,2024-03-08T09:00:00,964.97,0.00,4785938.13
synb1_txn_2c4bf73722c486dd60adab67,2024-03-08T15:00:00,0.00,62326.20,4848264.33
synb1_txn_70a3fe4fb3d8d5261e0a85d0,2024-03-09T09:00:00,83452.65,0.00,4764811.68
synb1_txn_0624beb127bf0b206e8c11c1,2024-03-09T09:00:00,6572.97,0.00,4758238.71
synb1_txn_bdafb8e2d205c727ab030dc0,2024-03-10T09:00:00,6426.81,0.00,4751811.90
synb1_txn_dcea89e5d9021bec417d4979,2024-03-14T15:00:00,0.00,192298.20,4944110.10
synb1_txn_e64b9e9fe67d4b15b64bfc74,2024-03-14T15:00:00,0.00,144629.38,5088739.48
synb1_txn_1a0209204bdb5c5e862352ec,2024-03-14T15:00:00,0.00,25539.49,5114278.97
synb1_txn_bd17e6e382825ced159c59de,2024-03-16T09:00:00,168574.33,0.00,4945704.64
synb1_txn_4d68d397c607b47a40773443,2024-03-16T15:00:00,0.00,132099.67,5077804.31
synb1_txn_a0414af2b130063805a47b4a,2024-03-17T09:00:00,76395.41,0.00,5001408.90
synb1_txn_9bff38d2c5f663356dc62e21,2024-03-17T15:00:00,0.00,50714.39,5052123.29
synb1_txn_c0d64e3f4247446a107773b8,2024-03-18T09:00:00,21646.40,0.00,5030476.89
synb1_txn_7e694256007184ab90585455,2024-03-18T09:00:00,8900.00,0.00,5021576.89
synb1_txn_cb73c73d833f34daa83f8e17,2024-03-18T09:00:00,1068.00,0.00,5020508.89
synb1_txn_9882cc73acf421d0a7fad65a,2024-03-18T09:00:00,141142.66,0.00,4879366.23
synb1_txn_d3ef1ff46c66b694e8aa5ebd,2024-03-19T15:00:00,0.00,49929.82,4929296.05
synb1_txn_11cae9073106069c79ecca41,2024-03-20T15:00:00,0.00,19957.92,4949253.97
synb1_txn_533001b7afce84628132eb17,2024-03-21T15:00:00,0.00,56541.79,5005795.76
synb1_txn_43afd13364b881e61bc724e3,2024-03-22T09:00:00,140000.00,0.00,4865795.76
synb1_txn_db2a28bdac2d066d27771719,2024-03-22T09:00:00,22385.39,0.00,4843410.37
synb1_txn_35bd82a6c43cae6a9b057bdd,2024-03-22T15:00:00,0.00,908.11,4844318.48
synb1_txn_49e3fb6554feeae31935bacb,2024-03-23T09:00:00,33804.81,0.00,4810513.67
