epoch,train_account_scaled_pinball_loss,calibration_account_scaled_pinball_loss,improved,training_seed,c2d_version
1,0.1900311421,0.0823535592,true,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
2,0.0757313915,0.0653983520,true,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
3,0.0670571894,0.0597368802,true,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
4,0.0626420773,0.0571390357,true,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
5,0.0595100246,0.0533231872,true,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
6,0.0570989175,0.0522289038,true,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
7,0.0551285838,0.0511751312,true,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
8,0.0531847503,0.0474082456,true,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
9,0.0518721853,0.0468123405,true,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
10,0.0509167923,0.0452755230,true,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
11,0.0501484428,0.0447576110,true,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
12,0.0492082932,0.0445146568,true,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
13,0.0484700342,0.0435505858,true,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
14,0.0478734048,0.0432957486,true,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
15,0.0471783922,0.0427461304,true,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
16,0.0468091857,0.0423527643,true,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
17,0.0461832945,0.0422505814,true,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
18,0.0457341449,0.0426877100,false,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
19,0.0452944614,0.0422994832,false,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
20,0.0449918238,0.0422402879,false,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
21,0.0447175908,0.0414233993,true,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
22,0.0442791878,0.0421907608,false,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
23,0.0441670292,0.0411678077,true,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
24,0.0436725707,0.0414460056,false,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
25,0.0435726762,0.0414948056,false,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
26,0.0435059485,0.0422529573,false,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
27,0.0431522248,0.0423599105,false,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
28,0.0431255646,0.0415800494,false,2026083104,syn_b1_post_t6_c2d_fixed_quantile_lstm_1_0
