transaction_id,booking_datetime,debit_cny,credit_cny,post_transaction_balance_cny
synb1_txn_666dac10911991c832696f95,2025-01-01T09:00:00,0.00,13631617.06,13631617.06
synb1_txn_959e88c656f1826ee1581e41,2025-01-03T10:26:11,0.00,655294.98,14286912.04
synb1_txn_82f7800116d8d1311d22111c,2025-01-03T17:11:02,0.00,441609.45,14728521.49
synb1_txn_762947462c2d2e5b9ae82f69,2025-01-05T09:58:17,0.00,593303.18,15321824.67
synb1_txn_d643e0d36ef85556b6a22943,2025-01-07T11:37:31,0.00,511760.95,15833585.62
synb1_txn_3ca346ace8a532204b51ffed,2025-01-07T13:31:44,73071.33,0.00,15760514.29
synb1_txn_4519694b20a9629497a43669,2025-01-11T14:46:51,0.00,538540.10,16299054.39
synb1_txn_953558d64b2d29ddf3e13ce3,2025-01-11T14:52:23,88285.74,0.00,16210768.65
synb1_txn_50b5440e82baabce681fc910,2025-01-11T17:30:39,86293.10,0.00,16124475.55
synb1_txn_02592def9b3c3fd99e1adb02,2025-01-14T14:19:13,0.00,621944.27,16746419.82
synb1_txn_f61960be7eaf022eb04aa503,2025-01-16T11:59:07,0.00,560828.68,17307248.50
synb1_txn_6b8e6a45821c63e5939ac102,2025-01-18T16:24:17,0.00,445552.39,17752800.89
synb1_txn_06009cf8737fdd29423a366f,2025-01-21T11:27:22,819975.00,0.00,16932825.89
synb1_txn_a97a3e29e5437e0644807c60,2025-01-23T11:23:21,73987.76,0.00,16858838.13
synb1_txn_62c2c42d7d3930b540f415b7,2025-02-01T10:13:04,1673616.86,0.00,15185221.27
synb1_txn_a4a290ff3aed84d097c1f5be,2025-02-01T14:02:49,0.00,1153729.48,16338950.75
synb1_txn_4fdefe8e4fd5a43ab11fcb12,2025-02-03T11:06:18,1483191.60,0.00,14855759.15
synb1_txn_707fcdbfbe667ec65bf07ef0,2025-02-04T16:11:55,0.00,1164851.18,16020610.33
synb1_txn_affd26859b9a5d62371b5439,2025-02-11T09:51:43,0.00,1259092.91,17279703.24
synb1_txn_635de5597657d95d1d4a3be4,2025-02-11T15:43:45,0.00,1003059.78,18282763.02
synb1_txn_2fca10930889d3a305ebabe6,2025-02-11T16:07:20,1335130.93,0.00,16947632.09
synb1_txn_f5876aa10f9c5d70518e98d0,2025-02-12T11:10:28,1380942.14,0.00,15566689.95
synb1_txn_e667c6ef7b87b89f44edb84a,2025-02-14T11:45:07,0.00,1225142.47,16791832.42
synb1_txn_d224f8270999c06af3fdf460,2025-02-15T12:51:31,1294489.65,0.00,15497342.77
synb1_txn_f4cc85fb4fbbb258244b868c,2025-02-16T15:28:07,86293.10,0.00,15411049.67
synb1_txn_e78fc5769173dc8e8fad9688,2025-02-17T12:31:03,1731060.38,0.00,13679989.29
synb1_txn_aa689d597a7449ea08eef5d4,2025-02-17T14:30:05,74892.97,0.00,13605096.32
synb1_txn_97b7692abb363d18d129fee7,2025-02-17T17:49:59,1685967.22,0.00,11919129.10
synb1_txn_5da0de15c12e89a85c060c03,2025-02-19T09:42:36,0.00,991352.74,12910481.84
synb1_txn_70ee2de2caaab09a0d38f88d,2025-02-19T15:07:55,71949.50,0.00,12838532.34
synb1_txn_1fac9dbb7b2d77cdefb1e689,2025-02-20T12:38:57,88502.36,0.00,12750029.98
synb1_txn_4b99bb36b84e7d30028cdd7f,2025-02-23T14:07:31,0.00,917598.34,13667628.32
synb1_txn_e23824c931495c4dc692379b,2025-02-26T17:56:32,0.00,1229122.87,14896751.19
synb1_txn_bf3b72b0a7b971730aaa2868,2025-02-27T17:14:41,819975.00,0.00,14076776.19
synb1_txn_bdea4ec001d8b65e5fad1ec0,2025-03-01T11:34:46,2075318.04,0.00,12001458.15
synb1_txn_6d540928ef74fda980a571f3,2025-03-03T09:00:00,0.00,10982759.00,22984217.15
synb1_txn_6159ca0119593c1fb3eb7391,2025-03-05T13:23:55,0.00,1455694.05,24439911.20
synb1_txn_ebdacc1138988e561b136b98,2025-03-06T17:27:56,2752937.85,0.00,21686973.35
synb1_txn_09c3b377b4e2a3d873521ecf,2025-03-07T15:05:33,2285647.70,0.00,19401325.65
synb1_txn_1769f3d04a446de24bffc1b4,2025-03-09T09:48:06,74826.67,0.00,19326498.98
synb1_txn_6ca9e5818223260a76e46062,2025-03-10T10:26:40,2525428.41,0.00,16801070.57
