transaction_id,booking_datetime,direction_cn,amount_cny,cash_flow_type_cn,usage_scope_cn
synb1_txn_76df615087d3773651f4ba0a,2024-01-01T09:00:00,流入,3600000.00,股东注资或股东借款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_2e3c4d2a1b6bc835359a1502,2024-01-02T15:00:00,流入,24956.77,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_319b7ecdb53ee98f0ef2b97b,2024-01-03T09:00:00,流出,60000.00,投用设备购买款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_8c533687d66c19c7dedbb2c7,2024-01-03T09:00:00,流出,34796.12,固定场地租赁付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_5d56d369ae00d38ffc437af3,2024-01-06T15:00:00,流入,14448.66,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_4972a5178b32135a156835da,2024-01-07T09:00:00,流出,116797.39,持续服务班组工资,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_95756fd5f02bd3147cb7efc7,2024-01-08T15:00:00,流入,39405.40,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_acebc151157ffff3bbbd4b94,2024-01-09T15:00:00,流入,22165.54,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c73fd9f5044d6a079939550c,2024-01-11T09:00:00,流出,94078.35,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_c9ce2dfbc86838a8aeb597a4,2024-01-12T15:00:00,流入,26489.18,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_685f5228bd078df07905cf7f,2024-01-12T15:00:00,流入,65675.68,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9071e866941fa791f30cf305,2024-01-13T15:00:00,流入,56645.27,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0b9213299f542c3b418e0258,2024-01-15T15:00:00,流入,55631.15,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_0d04579324f3cf8487302fd3,2024-01-16T15:00:00,流入,21672.98,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_27954998c04d6a254c648bc6,2024-01-18T15:00:00,流入,69292.59,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_102a59ebc1f2fb871eee3884,2024-01-19T09:00:00,流出,104531.51,备件到货后按供应合同付款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_6b76680f4be8801bb7fd43a0,2024-01-19T15:00:00,流入,30906.20,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_115a583e82a62d6b657f6a3a,2024-01-19T15:00:00,流入,62585.06,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
synb1_txn_9c0affac80ec47ea6b41317d,2024-01-22T15:00:00,流入,44545.24,客户交付验收后的合同回款,仅供人工查看；不得作为模型输入或导入数据库
