方法,资料,企业编号,来源组,余额走势,预测日期,预测内容,实际余额_cny,预测余额_cny,预测下限_cny,预测上限_cny,绝对误差_cny,实际余额是否落在范围内,范围宽度占预测日余额比例,漏出范围扣分
B_GRU_选用版本,逐笔金额余额用途,business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,长期上升,2025-05-12,下一银行营业日的日末余额,4558638.55,4559893.4604756525,4403688.9793735,4716097.941577805,1254.910475652665,1,0.06849170789579409,0.06849170789579409
B_GRU_选用版本,逐笔金额余额用途,business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,长期上升,2025-05-12,以后10个银行营业日的日均余额,4752485.302,4574626.379393848,3581669.3930905946,5567583.365697101,177858.92260615248,1,0.4353864842999895,0.4353864842999895
B_GRU_选用版本,逐笔金额余额用途,business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,长期上升,2025-05-12,以后30个银行营业日的日均余额,4706828.721,4634665.043208097,3177188.774483382,6092141.311932812,72163.6777919028,1,0.6390664221550899,0.6390664221550899
B_GRU_选用版本,逐笔金额余额用途,business_102_a1_l_abundant_t08,F-SHAPE-A1-L-08,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,4594860.55,4449939.305992662,4297448.895968057,4602429.716017267,144921.24400733784,1,0.06849170789579406,0.06849170789579406
B_GRU_选用版本,逐笔金额余额用途,business_102_a1_l_abundant_t08,F-SHAPE-A1-L-08,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,4721474.532,4492616.534576554,3523269.068295113,5461964.000857995,228857.9974234458,1,0.43538648429998955,0.43538648429998955
B_GRU_选用版本,逐笔金额余额用途,business_102_a1_l_abundant_t08,F-SHAPE-A1-L-08,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,4577100.312000001,4553098.100871753,3130276.2186133442,5975919.983130162,24002.2111282479,1,0.63906642215509,0.63906642215509
B_GRU_选用版本,逐笔金额余额用途,business_102_a1_l_abundant_t09,F-SHAPE-A1-L-09,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,4109222.02,4112322.5702826814,3971598.7531462787,4253046.387419084,3100.550282681361,1,0.0684917078957942,0.0684917078957942
B_GRU_选用版本,逐笔金额余额用途,business_102_a1_l_abundant_t09,F-SHAPE-A1-L-09,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,4454201.687,4117663.8163439566,3223113.952096006,5012213.680591907,336537.8706560433,1,0.43538648429998955,0.43538648429998955
B_GRU_选用版本,逐笔金额余额用途,business_102_a1_l_abundant_t09,F-SHAPE-A1-L-09,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,4377408.238666667,4180857.8253655275,2867824.918284372,5493890.732446684,196550.41330113914,1,0.63906642215509,0.63906642215509
B_GRU_选用版本,逐笔金额余额用途,business_102_a1_l_abundant_t10,F-SHAPE-A1-L-10,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,4677206.01,4675021.245515292,4514846.331612605,4835196.1594179785,2184.7644847081974,1,0.06849170789579435,0.06849170789579435
B_GRU_选用版本,逐笔金额余额用途,business_102_a1_l_abundant_t10,F-SHAPE-A1-L-10,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,4979983.934,4692974.514631478,3674778.3741111374,5711170.655151819,287009.41936852224,1,0.4353864842999895,0.4353864842999895
B_GRU_选用版本,逐笔金额余额用途,business_102_a1_l_abundant_t10,F-SHAPE-A1-L-10,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,5078247.851333333,4736583.281111486,3242060.6258649947,6231105.936357978,341664.5702218469,1,0.6390664221550898,0.6390664221550898
B_GRU_选用版本,逐笔金额余额用途,business_102_a1_s_abundant_t07,F-SHAPE-A1-S-07,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1606814.4,1607925.312154441,1552898.580890663,1662952.0434182188,1110.912154441001,1,0.06849170789579424,0.06849170789579424
