方法,资料,企业编号,来源组,余额走势,预测日期,预测内容,实际余额_cny,预测余额_cny,预测下限_cny,预测上限_cny,绝对误差_cny,实际余额是否落在范围内,范围宽度占预测日余额比例,漏出范围扣分
A_LSTM_选用版本,每天余额收入支出,business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,长期上升,2025-05-12,下一银行营业日的日末余额,4558638.55,4561781.125371644,4405617.25572967,4717944.995013619,3142.5753716444597,1,0.06847390079930032,0.06847390079930032
A_LSTM_选用版本,每天余额收入支出,business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,长期上升,2025-05-12,以后10个银行营业日的日均余额,4752485.302,4510500.685092043,3598734.613572197,5422266.756611889,241984.616907957,1,0.3997863249454012,0.3997863249454012
A_LSTM_选用版本,每天余额收入支出,business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,长期上升,2025-05-12,以后30个银行营业日的日均余额,4706828.721,4475240.8670985075,3201494.251357731,5748987.482839284,231587.85390149243,1,0.55850562367363,0.55850562367363
A_LSTM_选用版本,每天余额收入支出,business_102_a1_l_abundant_t08,F-SHAPE-A1-L-08,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,4594860.55,4451194.0726517225,4298743.308469353,4603644.836834092,143666.47734827735,1,0.06847390079930032,0.06847390079930032
A_LSTM_选用版本,每天余额收入支出,business_102_a1_l_abundant_t08,F-SHAPE-A1-L-08,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,4721474.532,4414455.909199185,3524368.8828118965,5304542.935586473,307018.6228008149,1,0.3997863249454011,0.3997863249454011
A_LSTM_选用版本,每天余额收入支出,business_102_a1_l_abundant_t08,F-SHAPE-A1-L-08,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,4577100.312000001,4402334.189651178,3158873.42379299,5645794.9555093665,174766.12234882265,1,0.5585056236736298,0.5585056236736298
A_LSTM_选用版本,每天余额收入支出,business_102_a1_l_abundant_t09,F-SHAPE-A1-L-09,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,4109222.02,4109196.2095295247,3968508.9790496347,4249883.440009415,25.810470475349575,1,0.06847390079930032,0.06847390079930032
A_LSTM_选用版本,每天余额收入支出,business_102_a1_l_abundant_t09,F-SHAPE-A1-L-09,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,4454201.687,4061603.868716222,3240198.483835963,4883009.253596481,392597.81828377815,1,0.3997863249454012,0.3997863249454012
A_LSTM_选用版本,每天余额收入支出,business_102_a1_l_abundant_t09,F-SHAPE-A1-L-09,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,4377408.238666667,4069041.4483273,2921529.6447805436,5216553.251874057,308366.79033936653,1,0.5585056236736299,0.5585056236736299
A_LSTM_选用版本,每天余额收入支出,business_102_a1_l_abundant_t10,F-SHAPE-A1-L-10,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,4677206.01,4676733.453440967,4516600.183267651,4836866.723614283,472.55655903276056,1,0.06847390079930044,0.06847390079930044
A_LSTM_选用版本,每天余额收入支出,business_102_a1_l_abundant_t10,F-SHAPE-A1-L-10,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,4979983.934,4627981.861103979,3693040.3602287574,5562923.3619792005,352002.0728960214,1,0.3997863249454012,0.3997863249454012
A_LSTM_选用版本,每天余额收入支出,business_102_a1_l_abundant_t10,F-SHAPE-A1-L-10,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,5078247.851333333,4601775.216559585,3295652.2867270354,5907898.146392135,476472.634773748,1,0.5585056236736298,0.5585056236736298
A_LSTM_选用版本,每天余额收入支出,business_102_a1_s_abundant_t07,F-SHAPE-A1-S-07,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1606814.4,1606837.0319960264,1551824.6070817828,1661849.45691027,22.63199602649547,1,0.06847390079930032,0.06847390079930032
A_LSTM_选用版本,每天余额收入支出,business_102_a1_s_abundant_t07,F-SHAPE-A1-S-07,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,1530061.5620000002,1604929.3648633524,1283738.1529406775,1926120.5767860273,74867.80286335223,1,0.3997863249454012,0.3997863249454012
A_LSTM_选用版本,每天余额收入支出,business_102_a1_s_abundant_t07,F-SHAPE-A1-S-07,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,1594766.3123333333,1588019.0277451528,1139311.588445268,2036726.4670450375,6747.284588180482,1,0.55850562367363,0.55850562367363
A_LSTM_选用版本,每天余额收入支出,business_102_a1_s_abundant_t08,F-SHAPE-A1-S-08,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1243456.79,1245417.056482461,1202772.5487866234,1288061.5641782987,1960.266482461011,1,0.06847390079930035,0.06847390079930035
A_LSTM_选用版本,每天余额收入支出,business_102_a1_s_abundant_t08,F-SHAPE-A1-S-08,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,1355350.6120000002,1264848.2014299557,1015867.3370157145,1513829.0658441968,90502.41057004454,1,0.39978632494540095,0.39978632494540095
A_LSTM_选用版本,每天余额收入支出,business_102_a1_s_abundant_t08,F-SHAPE-A1-S-08,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,1483857.2696666666,1287537.1711766112,939708.3329054012,1635366.0094478212,196320.09849005542,1,0.55850562367363,0.55850562367363
A_LSTM_选用版本,每天余额收入支出,business_102_a1_s_abundant_t09,F-SHAPE-A1-S-09,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1805120.55,1803364.2606757511,1741647.558873204,1865080.9624782982,1756.289324248908,1,0.06847390079930031,0.06847390079930031
A_LSTM_选用版本,每天余额收入支出,business_102_a1_s_abundant_t09,F-SHAPE-A1-S-09,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,1770565.19,1775508.6112368968,1415174.3362302708,2135842.886243523,4943.421236896887,1,0.3997863249454012,0.3997863249454012
A_LSTM_选用版本,每天余额收入支出,business_102_a1_s_abundant_t09,F-SHAPE-A1-S-09,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,1725552.5713333334,1752310.435078527,1248919.7325049823,2255701.137652072,26757.863745193696,1,0.55850562367363,0.55850562367363
A_LSTM_选用版本,每天余额收入支出,business_102_a1_s_abundant_t10,F-SHAPE-A1-S-10,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1599206.17,1600905.0572338677,1546083.0544716825,1655727.0599960529,1698.8872338677756,1,0.06847390079930014,0.06847390079930014
A_LSTM_选用版本,每天余额收入支出,business_102_a1_s_abundant_t10,F-SHAPE-A1-S-10,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,1680389.765,1626843.498528143,1306764.0703868933,1946922.9266693925,53546.26647185697,1,0.3997863249454011,0.3997863249454011
A_LSTM_选用版本,每天余额收入支出,business_102_a1_s_abundant_t10,F-SHAPE-A1-S-10,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,1958517.9303333333,1663099.03000693,1215944.7641286724,2110253.2958851876,295418.9003264033,1,0.5585056236736298,0.5585056236736298
A_LSTM_选用版本,每天余额收入支出,business_102_a1_s_tight_t03,F-TM6-A1-03,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,250777.23,251457.54637148636,217220.59597183624,285694.4967711365,680.3163714863476,1,0.06847390079930023,0.06847390079930023
A_LSTM_选用版本,每天余额收入支出,business_102_a1_s_tight_t03,F-TM6-A1-03,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,233456.53900000002,255564.27259764954,55671.11012494902,455457.43507035007,22107.733597649523,1,0.39978632494540106,0.39978632494540106
A_LSTM_选用版本,每天余额收入支出,business_102_a1_s_tight_t03,F-TM6-A1-03,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,272442.012,254123.0687832918,-25129.743053523125,533375.8806201067,18318.943216708198,1,0.5585056236736299,0.5585056236736299
A_LSTM_选用版本,每天余额收入支出,business_102_a1_s_tight_t04,F-TM6-A1-04,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,155049.09,154638.5627329263,120401.61233327619,188875.51313257642,410.52726707368856,1,0.06847390079930023,0.06847390079930023
A_LSTM_选用版本,每天余额收入支出,business_102_a1_s_tight_t04,F-TM6-A1-04,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,207579.537,166449.4557984649,-33443.70667423561,366342.6182711654,41130.0812015351,1,0.39978632494540106,0.39978632494540106
A_LSTM_选用版本,每天余额收入支出,business_102_a1_s_tight_t04,F-TM6-A1-04,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,264717.658,173511.13212275694,-105741.67971405797,452763.9439595719,91206.52587724305,1,0.5585056236736299,0.5585056236736299
A_LSTM_选用版本,每天余额收入支出,business_102_a2_l_abundant_t07,F-SHAPE-A2-L-07,长期波动或平稳,2025-05-12,下一银行营业日的日末余额,6131410.67,6132404.605582481,5922483.802593806,6342325.408571157,993.9355824813247,1,0.06847390079930021,0.06847390079930021
A_LSTM_选用版本,每天余额收入支出,business_102_a2_l_abundant_t07,F-SHAPE-A2-L-07,长期波动或平稳,2025-05-12,以后10个银行营业日的日均余额,5923863.907,6063544.392403887,4837917.323158727,7289171.461649046,139680.485403887,1,0.39978632494540106,0.39978632494540106
A_LSTM_选用版本,每天余额收入支出,business_102_a2_l_abundant_t07,F-SHAPE-A2-L-07,长期波动或平稳,2025-05-12,以后30个银行营业日的日均余额,5916247.053666668,6018439.186283302,4306225.516159552,7730652.856407051,102192.13261663355,1,0.5585056236736299,0.5585056236736299
A_LSTM_选用版本,每天余额收入支出,business_102_a2_l_abundant_t08,F-SHAPE-A2-L-08,冲高回落,2025-05-12,下一银行营业日的日末余额,5038193.37,5098719.923577382,4924117.836395073,5273322.010759692,60526.55357738212,1,0.06847390079930028,0.06847390079930028
A_LSTM_选用版本,每天余额收入支出,business_102_a2_l_abundant_t08,F-SHAPE-A2-L-08,冲高回落,2025-05-12,以后10个银行营业日的日均余额,5373526.897,5073522.359438786,4054104.3629818745,6092940.355895698,300004.5375612136,1,0.39978632494540106,0.39978632494540106
A_LSTM_选用版本,每天余额收入支出,business_102_a2_l_abundant_t08,F-SHAPE-A2-L-08,冲高回落,2025-05-12,以后30个银行营业日的日均余额,5224269.589,5088315.895765435,3664178.4294000054,6512453.3621308645,135953.69323456474,1,0.5585056236736299,0.5585056236736299
A_LSTM_选用版本,每天余额收入支出,business_102_a2_l_abundant_t09,F-SHAPE-A2-L-09,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,6612608.93,6559205.006231796,6334671.733810531,6783738.278653061,53403.923768203706,1,0.0684739007993003,0.0684739007993003
A_LSTM_选用版本,每天余额收入支出,business_102_a2_l_abundant_t09,F-SHAPE-A2-L-09,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,6482640.165999999,6473283.198481188,5162340.91592644,7784225.481035937,9356.967518811114,1,0.39978632494540123,0.39978632494540123
A_LSTM_选用版本,每天余额收入支出,business_102_a2_l_abundant_t09,F-SHAPE-A2-L-09,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,6281551.761333332,6420676.920891876,4589277.016909758,8252076.824873995,139125.15955854394,1,0.55850562367363,0.55850562367363
A_LSTM_选用版本,每天余额收入支出,business_102_a2_l_abundant_t10,F-SHAPE-A2-L-10,长期波动或平稳,2025-05-12,下一银行营业日的日末余额,6525610.45,6523604.698325559,6300187.69702147,6747021.699629647,2005.7516744416207,1,0.06847390079930013,0.06847390079930013
A_LSTM_选用版本,每天余额收入支出,business_102_a2_l_abundant_t10,F-SHAPE-A2-L-10,长期波动或平稳,2025-05-12,以后10个银行营业日的日均余额,6459524.471,6477934.468172852,5173509.558257449,7782359.3780882545,18409.997172852047,1,0.39978632494540106,0.39978632494540106
A_LSTM_选用版本,每天余额收入支出,business_102_a2_l_abundant_t10,F-SHAPE-A2-L-10,长期波动或平稳,2025-05-12,以后30个银行营业日的日均余额,6089605.268666668,6461331.486242255,4639036.419128052,8283626.553356458,371726.21757558733,1,0.5585056236736299,0.5585056236736299
A_LSTM_选用版本,每天余额收入支出,business_102_a2_m_tight_T04,F-TERRA-TIGHT-A2-04,长期上升,2025-05-12,下一银行营业日的日末余额,1407984.76,1334123.1725768952,1288452.0917609073,1379794.253392883,73861.5874231048,0,0.06847390079930014,0.2798017168274683
A_LSTM_选用版本,每天余额收入支出,business_102_a2_m_tight_T04,F-TERRA-TIGHT-A2-04,长期上升,2025-05-12,以后10个银行营业日的日均余额,1422020.859,1357735.3221712746,1091083.7462777798,1624386.8980647693,64285.536828725366,1,0.3997863249454012,0.3997863249454012
