方法,资料,预测内容,企业数,预测题数,平均绝对误差_cny,实际余额落在范围内比例,平均范围宽度占预测日余额比例,平均漏出范围扣分
A_GRU_选用版本,每天余额收入支出,下一银行营业日的日末余额,142,142,39543.390723642566,0.9225352112676056,0.06896838589227487,0.10739134034459577
A_GRU_选用版本,每天余额收入支出,以后10个银行营业日的日均余额,142,142,89538.74565470887,0.9929577464788732,0.42874859029830226,0.4308834445398193
A_GRU_选用版本,每天余额收入支出,以后30个银行营业日的日均余额,142,142,110184.92817425069,0.9859154929577465,0.5116341997494686,0.5228454748491045
A_LSTM_选用版本,每天余额收入支出,下一银行营业日的日末余额,142,142,39646.73130773605,0.9225352112676056,0.06847390079930024,0.10702510277802366
A_LSTM_选用版本,每天余额收入支出,以后10个银行营业日的日均余额,142,142,88534.35805894306,0.9929577464788732,0.39978632494540106,0.4048108287003641
A_LSTM_选用版本,每天余额收入支出,以后30个银行营业日的日均余额,142,142,113156.07585259694,0.9859154929577465,0.55850562367363,0.5682103313661171
B_GRU_选用版本,逐笔金额余额用途,下一银行营业日的日末余额,142,142,41690.31565125489,0.9225352112676056,0.0684917078957942,0.10563461104577615
B_GRU_选用版本,逐笔金额余额用途,以后10个银行营业日的日均余额,142,142,92394.47392633864,0.9929577464788732,0.43538648429998955,0.4398929821801391
B_GRU_选用版本,逐笔金额余额用途,以后30个银行营业日的日均余额,142,142,119927.90495778601,0.9859154929577465,0.6390664221550899,0.6486555126912741
B_LSTM_选用版本,逐笔金额余额用途,下一银行营业日的日末余额,142,142,47349.137759412544,0.9154929577464789,0.07454372679834684,0.11080462182090127
B_LSTM_选用版本,逐笔金额余额用途,以后10个银行营业日的日均余额,142,142,95614.1803869296,0.9929577464788732,0.41838344522488047,0.42314531082689194
B_LSTM_选用版本,逐笔金额余额用途,以后30个银行营业日的日均余额,142,142,133542.47174995005,0.9929577464788732,0.6092451836557886,0.6192403392312974
