方法,资料,企业编号,来源组,余额走势,预测日期,预测内容,实际余额_cny,预测余额_cny,预测下限_cny,预测上限_cny,绝对误差_cny,实际余额是否落在范围内,范围宽度占预测日余额比例,漏出范围扣分
A_GRU_选用版本,每天余额收入支出,business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,长期上升,2025-05-12,下一银行营业日的日末余额,4558638.55,4561128.4695241945,4403836.860631239,4718420.07841715,2489.9195241946727,1,0.06896838589227482,0.06896838589227482
A_GRU_选用版本,每天余额收入支出,business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,长期上升,2025-05-12,以后10个银行营业日的日均余额,4752485.302,4494717.1199721405,3516898.7368662586,5472535.503078023,257768.1820278596,1,0.4287485902983022,0.4287485902983022
A_GRU_选用版本,每天余额收入支出,business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,长期上升,2025-05-12,以后30个银行营业日的日均余额,4706828.721,4460996.0501526,3294145.972365467,5627846.127939733,245832.6708474001,1,0.5116341997494688,0.5116341997494688
A_GRU_选用版本,每天余额收入支出,business_102_a1_l_abundant_t08,F-SHAPE-A1-L-08,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,4594860.55,4453752.6146146795,4300200.925416782,4607304.303812577,141107.93538532034,1,0.068968385892275,0.068968385892275
A_GRU_选用版本,每天余额收入支出,business_102_a1_l_abundant_t08,F-SHAPE-A1-L-08,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,4721474.532,4425537.563729149,3470968.750354965,5380106.377103333,295936.96827085037,1,0.4287485902983022,0.4287485902983022
A_GRU_选用版本,每天余额收入支出,business_102_a1_l_abundant_t08,F-SHAPE-A1-L-08,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,4577100.312000001,4433133.959623475,3294028.0546997925,5572239.864547157,143966.35237652622,1,0.5116341997494687,0.5116341997494687
A_GRU_选用版本,每天余额收入支出,business_102_a1_l_abundant_t09,F-SHAPE-A1-L-09,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,4109222.02,4112349.3682271005,3970646.163230904,4254052.5732232975,3127.348227100447,1,0.06896838589227496,0.06896838589227496
A_GRU_选用版本,每天余额收入支出,business_102_a1_l_abundant_t09,F-SHAPE-A1-L-09,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,4454201.687,4046993.8375813873,3166082.2634325167,4927905.411730258,407207.84941861266,1,0.42874859029830203,0.42874859029830203
A_GRU_选用版本,每天余额收入支出,business_102_a1_l_abundant_t09,F-SHAPE-A1-L-09,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,4377408.238666667,4091397.583360863,3040188.3234630655,5142606.84325866,286010.65530580375,1,0.5116341997494686,0.5116341997494686
A_GRU_选用版本,每天余额收入支出,business_102_a1_l_abundant_t10,F-SHAPE-A1-L-10,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,4677206.01,4677133.889326119,4515844.214828446,4838423.563823792,72.12067388091236,1,0.06896838589227473,0.06896838589227473
A_GRU_选用版本,每天余额收入支出,business_102_a1_l_abundant_t10,F-SHAPE-A1-L-10,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,4979983.934,4630100.899940768,3627428.1582796453,5632773.641601891,349883.0340592321,1,0.42874859029830203,0.42874859029830203
A_GRU_选用版本,每天余额收入支出,business_102_a1_l_abundant_t10,F-SHAPE-A1-L-10,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,5078247.851333333,4605954.367836136,3409445.090841259,5802463.644831014,472293.4834971968,1,0.5116341997494687,0.5116341997494687
A_GRU_选用版本,每天余额收入支出,business_102_a1_s_abundant_t07,F-SHAPE-A1-S-07,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1606814.4,1608245.2672507614,1552835.5694525293,1663654.9650489935,1430.8672507614829,1,0.06896838589227491,0.06896838589227491
A_GRU_选用版本,每天余额收入支出,business_102_a1_s_abundant_t07,F-SHAPE-A1-S-07,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,1530061.5620000002,1602041.4524707582,1257581.748035252,1946501.1569062644,71979.89047075808,1,0.4287485902983022,0.4287485902983022
A_GRU_选用版本,每天余额收入支出,business_102_a1_s_abundant_t07,F-SHAPE-A1-S-07,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,1594766.3123333333,1584806.7923839397,1173756.1925389785,1995857.392228901,9959.51994939358,1,0.5116341997494686,0.5116341997494686
A_GRU_选用版本,每天余额收入支出,business_102_a1_s_abundant_t08,F-SHAPE-A1-S-08,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1243456.79,1246236.6159371457,1203284.150419325,1289189.0814549662,2779.8259371456224,1,0.06896838589227482,0.06896838589227482
A_GRU_选用版本,每天余额收入支出,business_102_a1_s_abundant_t08,F-SHAPE-A1-S-08,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,1355350.6120000002,1281624.6636541125,1014606.5393012159,1548642.788007009,73725.94834588771,1,0.42874859029830215,0.42874859029830215
A_GRU_选用版本,每天余额收入支出,business_102_a1_s_abundant_t08,F-SHAPE-A1-S-08,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,1483857.2696666666,1305854.8995667975,987216.8737791257,1624492.9253544693,178002.3700998691,1,0.5116341997494686,0.5116341997494686
A_GRU_选用版本,每天余额收入支出,business_102_a1_s_abundant_t09,F-SHAPE-A1-S-09,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1805120.55,1803398.8869856286,1741236.4972834194,1865561.276687838,1721.6630143714137,1,0.06896838589227489,0.06896838589227489
A_GRU_选用版本,每天余额收入支出,business_102_a1_s_abundant_t09,F-SHAPE-A1-S-09,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,1770565.19,1753970.0640987938,1367531.6023371245,2140408.5258604633,16595.125901206164,1,0.42874859029830226,0.42874859029830226
A_GRU_选用版本,每天余额收入支出,business_102_a1_s_abundant_t09,F-SHAPE-A1-S-09,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,1725552.5713333334,1742641.8151812388,1281497.1313041751,2203786.4990583025,17089.243847905425,1,0.5116341997494686,0.5116341997494686
A_GRU_选用版本,每天余额收入支出,business_102_a1_s_abundant_t10,F-SHAPE-A1-S-10,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1599206.17,1601246.9065848736,1546029.0060745466,1656464.8070952005,2040.7365848736372,1,0.068968385892275,0.068968385892275
A_GRU_选用版本,每天余额收入支出,business_102_a1_s_abundant_t10,F-SHAPE-A1-S-10,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,1680389.765,1648681.8861815121,1305414.5079944532,1991949.264368571,31707.87881848775,1,0.4287485902983021,0.4287485902983021
A_GRU_选用版本,每天余额收入支出,business_102_a1_s_abundant_t10,F-SHAPE-A1-S-10,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,1958517.9303333333,1657243.4035362694,1247615.6302609304,2066871.1768116085,301274.5267970639,1,0.5116341997494687,0.5116341997494687
A_GRU_选用版本,每天余额收入支出,business_102_a1_s_tight_t03,F-TM6-A1-03,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,250777.23,252937.25698121474,218453.0640350773,287421.4499273522,2160.0269812147308,1,0.0689683858922749,0.0689683858922749
A_GRU_选用版本,每天余额收入支出,business_102_a1_s_tight_t03,F-TM6-A1-03,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,233456.53900000002,256765.57336812263,42391.278218971565,471139.8685172737,23309.034368122608,1,0.42874859029830215,0.42874859029830215
A_GRU_选用版本,每天余额收入支出,business_102_a1_s_tight_t03,F-TM6-A1-03,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,272442.012,267896.016517931,12078.916643196688,523713.1163926653,4545.9954820689745,1,0.5116341997494686,0.5116341997494686
A_GRU_选用版本,每天余额收入支出,business_102_a1_s_tight_t04,F-TM6-A1-04,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,155049.09,155450.68192166538,120966.48897552794,189934.87486780284,401.5919216653856,1,0.06896838589227489,0.06896838589227489
A_GRU_选用版本,每天余额收入支出,business_102_a1_s_tight_t04,F-TM6-A1-04,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,207579.537,175565.96749617832,-38808.327652972745,389940.26264532935,32013.569503821695,1,0.42874859029830215,0.42874859029830215
A_GRU_选用版本,每天余额收入支出,business_102_a1_s_tight_t04,F-TM6-A1-04,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,264717.658,182365.30413334264,-73451.79574139169,438182.404008077,82352.35386665736,1,0.5116341997494687,0.5116341997494687
A_GRU_选用版本,每天余额收入支出,business_102_a2_l_abundant_t07,F-SHAPE-A2-L-07,长期波动或平稳,2025-05-12,下一银行营业日的日末余额,6131410.67,6132120.312757275,5920683.564180989,6343557.061333561,709.6427572751418,1,0.06896838589227501,0.06896838589227501
A_GRU_选用版本,每天余额收入支出,business_102_a2_l_abundant_t07,F-SHAPE-A2-L-07,长期波动或平稳,2025-05-12,以后10个银行营业日的日均余额,5923863.907,6056144.18789745,4741727.347246217,7370561.028548684,132280.28089745063,1,0.428748590298302,0.428748590298302
A_GRU_选用版本,每天余额收入支出,business_102_a2_l_abundant_t07,F-SHAPE-A2-L-07,长期波动或平稳,2025-05-12,以后30个银行营业日的日均余额,5916247.053666668,6018580.137313591,4450060.44157319,7587099.833053993,102333.0836469233,1,0.5116341997494687,0.5116341997494687
A_GRU_选用版本,每天余额收入支出,business_102_a2_l_abundant_t08,F-SHAPE-A2-L-08,冲高回落,2025-05-12,下一银行营业日的日末余额,5038193.37,5099997.863437061,4924134.885195442,5275860.841678681,61804.493437061086,1,0.06896838589227502,0.06896838589227502
A_GRU_选用版本,每天余额收入支出,business_102_a2_l_abundant_t08,F-SHAPE-A2-L-08,冲高回落,2025-05-12,以后10个银行营业日的日均余额,5373526.897,5071416.408630329,3978147.3255387256,6164685.491721933,302110.4883696707,1,0.42874859029830215,0.42874859029830215
A_GRU_选用版本,每天余额收入支出,business_102_a2_l_abundant_t08,F-SHAPE-A2-L-08,冲高回落,2025-05-12,以后30个银行营业日的日均余额,5224269.589,5089136.162982038,3784516.474205366,6393755.851758711,135133.42601796146,1,0.5116341997494688,0.5116341997494688
