calendar_date,inflow_cny,outflow_cny,transaction_count,ending_balance_cny,day_cut_basis,source_last_transaction_id,reconciliation_status,calendar_source,calendar_inference_status,is_bank_workday,business_step,target_date,execution_status
2024-01-01,1500000.00,0.00,1,1500000.00,last_posted_transaction_or_prior_closing_balance,synb1_txn_93c4af4702874646500abe0f,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-02,0.00,147290.38,2,1352709.62,last_posted_transaction_or_prior_closing_balance,synb1_txn_18ed0dca0ca5c1be8e19452b,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,1,2024-01-03,complete
2024-01-03,0.00,0.00,0,1352709.62,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,2,2024-01-04,complete
2024-01-04,0.00,0.00,0,1352709.62,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,3,2024-01-05,complete
2024-01-05,0.00,8000.00,1,1344709.62,last_posted_transaction_or_prior_closing_balance,synb1_txn_5dce9327b3f4565e78a26bdb,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,4,2024-01-08,complete
2024-01-06,0.00,0.00,0,1344709.62,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-07,0.00,30000.00,1,1314709.62,last_posted_transaction_or_prior_closing_balance,synb1_txn_b205101efb858cce368d0873,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
2024-01-08,15463.40,0.00,1,1330173.02,last_posted_transaction_or_prior_closing_balance,synb1_txn_1bf4171074dae3e5b07aba4f,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,5,2024-01-09,complete
2024-01-09,0.00,0.00,0,1330173.02,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,6,2024-01-10,complete
2024-01-10,23975.32,0.00,1,1354148.34,last_posted_transaction_or_prior_closing_balance,synb1_txn_97da4726eb7ffdee6e50bba5,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,7,2024-01-11,complete
2024-01-11,0.00,1006.46,1,1353141.88,last_posted_transaction_or_prior_closing_balance,synb1_txn_05310de9e8c734cbc2b1a07b,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,8,2024-01-12,complete
2024-01-12,0.00,21235.82,1,1331906.06,last_posted_transaction_or_prior_closing_balance,synb1_txn_d17da32e007286d53e9da153,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,True,9,2024-01-15,complete
2024-01-13,0.00,0.00,0,1331906.06,last_posted_transaction_or_prior_closing_balance,,trusted,cn_public_2022_2026_cycles_1_0,public_schedule_without_transaction_override,False,,,complete
